source,2011-10-01T00:00:00Z,2015-06-01T00:00:00Z,2016-04-01T00:00:00Z,2016-11-01T00:00:00Z,2017-05-01T00:00:00Z,2017-06-01T00:00:00Z,2017-11-01T00:00:00Z,2017-12-01T00:00:00Z,2018-04-01T00:00:00Z,2018-12-01T00:00:00Z,2019-01-01T00:00:00Z,2019-02-01T00:00:00Z,2019-04-01T00:00:00Z,2020-05-01T00:00:00Z,2020-12-01T00:00:00Z
5g,,,,,,,,,,,1.0,,,1.0,1.0
Carbon capture and storage,1.0,,,,,,,,,,,,,,
Cryptocurrency,,,,,,,,,,1.0,,,,,
Electric vehicle,,,,,,,2.0,,,,,,,,
Graphene,,,1.0,,,,,,,,,,,,
Internet of things,,,,,,,,3.0,,,,,,,
Ocean thermal energy conversion,,,,,,,,,,,1.0,,,,
Smart grid,,,,,,,,,,,1.0,,,,
Smartphone,,3.0,,1.0,1.0,,,,,,,,,,
artificial island,,,,,,2.0,,,1.0,,,3.0,,,
self assembly,,,,,,,,,,,,,3.0,3.0,
