source,2012-07-01T00:00:00Z,2014-05-01T00:00:00Z,2015-02-01T00:00:00Z,2015-09-01T00:00:00Z,2016-02-01T00:00:00Z,2016-05-01T00:00:00Z,2016-07-01T00:00:00Z,2016-08-01T00:00:00Z,2016-09-01T00:00:00Z,2016-10-01T00:00:00Z,2016-11-01T00:00:00Z,2016-12-01T00:00:00Z,2017-01-01T00:00:00Z,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,2017-04-01T00:00:00Z,2017-05-01T00:00:00Z,2017-06-01T00:00:00Z,2017-07-01T00:00:00Z,2017-08-01T00:00:00Z,2017-11-01T00:00:00Z,2018-02-01T00:00:00Z,2018-03-01T00:00:00Z,2018-04-01T00:00:00Z,2018-05-01T00:00:00Z,2018-07-01T00:00:00Z,2019-09-01T00:00:00Z,2020-02-01T00:00:00Z,2020-06-01T00:00:00Z,2020-11-01T00:00:00Z
5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,1.0,1.0
Augmented reality,,,,,,,,,,,,,,,,,205.0,,,,,,,,,,,,,
Electric vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
Fuel cell,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,,,,
Gene Editing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Genetically modified food,,,,1.0,,1.0,1.0,1.0,1.0,,2.0,1.0,2.0,2.0,1.0,,,1.0,1.0,1.0,,2.0,,1.0,,,,,,
Regenerative Medicine,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
Smart grid,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smartphone,1.0,,,,,,,,,2.0,,,,,,,,,1.0,,,,,,,1.0,,,,
Virtual reality,,,1.0,,3.0,,,,,,,,2.0,2.0,,,,,,,3.0,,2.0,1.0,1.0,,,,,
