source,2016-03-01T00:00:00Z,2016-05-01T00:00:00Z,2016-10-01T00:00:00Z,2017-04-01T00:00:00Z,2017-07-01T00:00:00Z,2017-10-01T00:00:00Z,2018-06-01T00:00:00Z,2018-09-01T00:00:00Z,2018-10-01T00:00:00Z,2018-11-01T00:00:00Z,2019-02-01T00:00:00Z,2019-04-01T00:00:00Z,2019-05-01T00:00:00Z,2019-11-01T00:00:00Z,2020-03-01T00:00:00Z,2020-08-01T00:00:00Z,2020-09-01T00:00:00Z
5g,1.0,,,,,,,,,,,1.0,,,,,
6G,1.0,,,,,,,,,,,,,,,,
Augmented reality,,,,1.0,,,,,,,,,,,,,
Cloud computing,,,3.0,,,,,,,,,,,,,,
Cryptocurrency,,,,,1.0,3.0,,6.0,1.0,6.0,1.0,,,,,1.0,
Deep learning,,,,,,,,,,,,,,1.0,,,
Distributed ledger,,,,,,,,,,,,1.0,3.0,,,,
Electric vehicle,,,,,,,,,,,,,,,,,1.0
Internet of things,,1.0,,,,,,,,,,,2.0,,,,
Smart grid,,,,,,,,,,,,,1.0,,,,
aquaponics,,,,,,,1.0,,,,,,,,,,
hydroponics,,,,,,,,,,,,,,,2.0,2.0,
