source,2014-10-01T00:00:00Z,2015-03-01T00:00:00Z,2015-04-01T00:00:00Z,2015-05-01T00:00:00Z,2015-06-01T00:00:00Z,2016-02-01T00:00:00Z,2016-07-01T00:00:00Z,2016-08-01T00:00:00Z,2016-09-01T00:00:00Z,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,2017-07-01T00:00:00Z,2017-08-01T00:00:00Z,2017-09-01T00:00:00Z,2017-10-01T00:00:00Z,2017-11-01T00:00:00Z,2017-12-01T00:00:00Z,2018-01-01T00:00:00Z,2018-02-01T00:00:00Z,2018-03-01T00:00:00Z,2018-05-01T00:00:00Z,2018-06-01T00:00:00Z,2018-07-01T00:00:00Z,2018-09-01T00:00:00Z,2018-10-01T00:00:00Z,2019-02-01T00:00:00Z,2019-04-01T00:00:00Z,2019-06-01T00:00:00Z,2019-07-01T00:00:00Z,2020-04-01T00:00:00Z,2020-11-01T00:00:00Z
5g,,,,,,,,,,,,,,,,,,,,,2.0,,,1.0,7.0,1.0,1.0,,1.0,1.0,1.0
Augmented reality,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cloud computing,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
Cryptocurrency,,,,,,,,,,,,,1.0,1.0,9.0,4.0,17.0,18.0,5.0,17.0,8.0,2.0,17.0,,,,,1.0,,,
Edge Computing,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
Electric vehicle,,,,1.0,,,,1.0,2.0,,,13.0,,,,,,,,,,,,,,,,1.0,,,
Hydrogen fuel,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Internet of things,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Jetpack,,,,,,2.0,,,,,2.0,,,,,,,,,,,,,,,,,,,,
Molten salt reactor,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smartphone,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Superalloy,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
Supercapacitor,,,,,,,,,,,,,,,,,,,,8.0,,,,,,,,,,,
