source,2013-01-01T00:00:00Z,2015-01-01T00:00:00Z,2015-03-01T00:00:00Z,2015-04-01T00:00:00Z,2015-05-01T00:00:00Z,2016-07-01T00:00:00Z,2016-08-01T00:00:00Z,2016-09-01T00:00:00Z,2016-10-01T00:00:00Z,2016-11-01T00:00:00Z,2017-03-01T00:00:00Z,2017-05-01T00:00:00Z,2017-08-01T00:00:00Z,2018-01-01T00:00:00Z,2018-02-01T00:00:00Z,2018-06-01T00:00:00Z,2019-04-01T00:00:00Z,2019-05-01T00:00:00Z,2019-10-01T00:00:00Z,2019-11-01T00:00:00Z,2020-01-01T00:00:00Z,2020-06-01T00:00:00Z,2020-07-01T00:00:00Z,2020-09-01T00:00:00Z,2020-11-01T00:00:00Z
5g,,,,,,,,,,,,,,,,,,2.0,,,1.0,,,,
Cloud computing,1.0,,,,,,2.0,,,5.0,2.0,2.0,1.0,,,,,,,,,,,,
Cryptocurrency,,,,,,,,,,,,,,,,,1.0,3.0,,,,,,,
Electric vehicle,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Facial recognition,,,,,,,,,,,,,,,,1.0,,,,,,,,,
Fuel cell,,,,,,,,,,,,,,,,,,,,,,,,1.0,
Fuel cell vehicle,,,,,,,,,,,,,,,,,,,,,,,,1.0,
Gasification,,2.0,2.0,2.0,1.0,,,,,1.0,,,,,,,,,,,,,,,
Gene Editing,,,,,,,,,,,,,,,,,,,1.0,,,,,,
Graphene,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Hypersonic weapon,,,,,,,,,,,,,,,,,,,,,,1.0,,,
Lithium ion battery,,,,,,,,,,,,,1.0,,,,,,,,,,,,
Neural Networks,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Precision agriculture,,,,,,,,,,,,,,,,,,,,1.0,,,,,
Regenerative Medicine,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,
Smartphone,,1.0,,,,,,,,,,,,,3.0,,,,,,,,,,
Supercapacitor,,,,,,,,,,,,,,,,,,1.0,,,,,,,
Virtual reality,,,,,,,,,,,,,,1.0,,,,,,,,,,,
artificial island,,,,,,1.0,,,,,,,,,,,,,,,,,,,
concentrated solar power,,,,,,,,,,,,,,1.0,,,,,,,,,,,
