source,2011-01-01T00:00:00Z,2013-05-01T00:00:00Z,2014-01-01T00:00:00Z,2014-12-01T00:00:00Z,2015-10-01T00:00:00Z,2016-03-01T00:00:00Z,2016-04-01T00:00:00Z,2016-05-01T00:00:00Z,2016-08-01T00:00:00Z,2016-10-01T00:00:00Z,2017-04-01T00:00:00Z,2017-08-01T00:00:00Z,2017-09-01T00:00:00Z,2018-01-01T00:00:00Z,2018-05-01T00:00:00Z,2018-07-01T00:00:00Z,2018-08-01T00:00:00Z,2018-09-01T00:00:00Z,2018-11-01T00:00:00Z,2018-12-01T00:00:00Z,2019-01-01T00:00:00Z,2019-02-01T00:00:00Z,2019-03-01T00:00:00Z,2019-05-01T00:00:00Z,2019-09-01T00:00:00Z,2019-10-01T00:00:00Z,2020-01-01T00:00:00Z,2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,2020-04-01T00:00:00Z,2020-06-01T00:00:00Z,2020-07-01T00:00:00Z,2020-08-01T00:00:00Z,2020-09-01T00:00:00Z,2020-11-01T00:00:00Z,2020-12-01T00:00:00Z
5g,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,
Cloud computing,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cryptocurrency,,,,,,,,,,,,,,,,,,,1.0,,1.0,2.0,,,,,,,,,,,,,,
Deep learning,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
Electric vehicle,,,,,,,,,,,,,,,3.0,2.0,1.0,1.0,6.0,3.0,,3.0,4.0,,,2.0,2.0,3.0,5.0,1.0,2.0,,1.0,2.0,2.0,3.0
Genetically modified organism,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Graphene,,,,1.0,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,,,,,,
Internet of things,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Learning Management System,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Lithium ion battery,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Radio-frequency identification,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rapid diagnostic test,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Rapid transit,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,
Regenerative Medicine,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smartphone,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Virtual reality,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
aquaponics,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
cellular agriculture,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
concentrated solar power,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,
hydroponics,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
