source,2015-01-01T00:00:00Z,2015-05-01T00:00:00Z,2015-11-01T00:00:00Z,2015-12-01T00:00:00Z,2016-02-01T00:00:00Z,2016-05-01T00:00:00Z,2016-08-01T00:00:00Z,2016-09-01T00:00:00Z,2016-11-01T00:00:00Z,2017-05-01T00:00:00Z,2017-06-01T00:00:00Z,2017-09-01T00:00:00Z,2017-11-01T00:00:00Z,2017-12-01T00:00:00Z,2018-01-01T00:00:00Z,2018-04-01T00:00:00Z,2018-06-01T00:00:00Z,2018-09-01T00:00:00Z,2018-10-01T00:00:00Z,2019-02-01T00:00:00Z,2019-03-01T00:00:00Z,2019-04-01T00:00:00Z,2019-05-01T00:00:00Z,2019-07-01T00:00:00Z,2019-08-01T00:00:00Z,2019-09-01T00:00:00Z,2019-11-01T00:00:00Z,2020-04-01T00:00:00Z,2020-06-01T00:00:00Z,2020-11-01T00:00:00Z
5g,,1.0,1.0,,,,,,,,,,,,,,,,2.0,,,1.0,2.0,1.0,,2.0,,,,
Autonomous vehicle,15.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbon dioxide removal,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,
Carbon sequestration,,,,,6.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Cloud computing,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
Cryptocurrency,,,,,,,,,,,1.0,,2.0,1.0,,20.0,,1.0,1.0,,1.0,,2.0,,1.0,,,,19.0,
Internet of things,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,
Learning Management System,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
Mass driver,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,
Neural Networks,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Regenerative Medicine,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,
Smart grid,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Smartphone,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,1.0,,
Stem-cell therapy,,1.0,,,,2.0,,,4.0,,,,,,,,,,,1.0,4.0,,,,,,,,,1.0
Virtual reality,,2.0,,1.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,1.0,,,
