source,2013-06-01T00:00:00Z,2015-07-01T00:00:00Z,2016-02-01T00:00:00Z,2016-08-01T00:00:00Z,2016-09-01T00:00:00Z,2016-11-01T00:00:00Z,2016-12-01T00:00:00Z,2017-02-01T00:00:00Z,2017-08-01T00:00:00Z,2017-10-01T00:00:00Z,2017-12-01T00:00:00Z,2018-02-01T00:00:00Z,2018-03-01T00:00:00Z,2018-04-01T00:00:00Z,2018-06-01T00:00:00Z,2018-07-01T00:00:00Z,2018-10-01T00:00:00Z,2019-01-01T00:00:00Z,2019-03-01T00:00:00Z,2019-06-01T00:00:00Z,2019-07-01T00:00:00Z,2019-08-01T00:00:00Z,2019-11-01T00:00:00Z,2020-01-01T00:00:00Z,2020-03-01T00:00:00Z,2020-08-01T00:00:00Z,2020-10-01T00:00:00Z,2020-12-01T00:00:00Z
5g,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,
Augmented reality,,,,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,
Autonomous vehicle,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
Cloud computing,,,,,,,,,,,1.0,,,,,,,2.0,,,,,,,,,,
Cryptocurrency,,,,,1.0,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,
Distributed ledger,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
Electric vehicle,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
Gas generator,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
Gene Editing,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Hyperloop,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,
Internet of things,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
Lidar,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Lithium ion battery,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
Natural Language Processing,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
PAV,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,
Smart grid,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smartphone,,4.0,23.0,1.0,2.0,,1.0,,,1.0,,,,,1.0,1.0,,,,,,,,,,,1.0,
Stablecoin,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
Stem-cell therapy,,,,,,1.0,,,,,,1.0,,,,3.0,,,,,,,,,,,,
Virtual reality,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
aquaponics,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
concentrated solar power,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,
