source,2014-12-01T00:00:00Z,2016-01-01T00:00:00Z,2016-02-01T00:00:00Z,2016-06-01T00:00:00Z,2016-07-01T00:00:00Z,2017-01-01T00:00:00Z,2017-06-01T00:00:00Z,2017-08-01T00:00:00Z,2017-09-01T00:00:00Z,2017-10-01T00:00:00Z,2018-02-01T00:00:00Z,2018-03-01T00:00:00Z,2018-04-01T00:00:00Z,2018-05-01T00:00:00Z,2018-06-01T00:00:00Z,2018-07-01T00:00:00Z,2018-09-01T00:00:00Z,2018-10-01T00:00:00Z,2019-01-01T00:00:00Z,2019-02-01T00:00:00Z,2019-03-01T00:00:00Z,2019-05-01T00:00:00Z,2019-06-01T00:00:00Z,2019-12-01T00:00:00Z,2020-08-01T00:00:00Z,2020-09-01T00:00:00Z,2020-12-01T00:00:00Z
5g,,,,,,,,1.0,,,,,,,,,,,,,,1.0,,,,,
Cryptocurrency,,,,,,,,,1.0,3.0,1.0,1.0,6.0,2.0,2.0,1.0,,3.0,,4.0,1.0,2.0,,,,,1.0
Deep learning,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Electric vehicle,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Floating Liquefied Natural Gas,,,,,,,,8.0,,,,,,,,,,,,,,,,,,,
Fuel cell,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Gasification,,,,,,,,,,1.0,,,,,,,,,,,,,,,,1.0,
Gene Editing,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,
Graphene,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Hydrogen fuel,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Hyperloop,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,
Hypersonic weapon,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,
Internet of things,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Laser weapon,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
Molecular electronics,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Optical coating,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Smartphone,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Spintronics,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Urban mining,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Virtual reality,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
