source,2015-02-01T00:00:00Z,2015-03-01T00:00:00Z,2015-05-01T00:00:00Z,2015-06-01T00:00:00Z,2016-03-01T00:00:00Z,2016-04-01T00:00:00Z,2016-05-01T00:00:00Z,2016-08-01T00:00:00Z,2016-11-01T00:00:00Z,2017-03-01T00:00:00Z,2017-05-01T00:00:00Z,2017-06-01T00:00:00Z,2017-10-01T00:00:00Z,2018-01-01T00:00:00Z,2018-02-01T00:00:00Z,2018-06-01T00:00:00Z,2018-09-01T00:00:00Z,2018-10-01T00:00:00Z,2018-11-01T00:00:00Z,2018-12-01T00:00:00Z,2019-01-01T00:00:00Z,2019-02-01T00:00:00Z,2019-03-01T00:00:00Z,2019-04-01T00:00:00Z,2019-05-01T00:00:00Z,2019-06-01T00:00:00Z,2019-07-01T00:00:00Z,2019-08-01T00:00:00Z,2019-09-01T00:00:00Z,2019-10-01T00:00:00Z,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,2020-01-01T00:00:00Z,2020-02-01T00:00:00Z,2020-04-01T00:00:00Z,2020-06-01T00:00:00Z,2020-07-01T00:00:00Z,2020-10-01T00:00:00Z,2020-11-01T00:00:00Z
5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,1.0,,
Apheresis,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Autonomous vehicle,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Cloud computing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
Cryptocurrency,,,,,,,,,,,,,,10.0,,7.0,,1.0,3.0,1.0,3.0,,5.0,,,,,,,,,,,,,,,,1.0
Deep learning,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,,,,,,,
Electric vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
Facial recognition,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,
Genetically modified organism,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Internet of things,,,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,1.0,,,,,,,,10.0,,,,,,1.0,,,1.0,,,,,
Lab-on-a-chip,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Learning Management System,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Precision agriculture,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Quadcopter,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rapid diagnostic test,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
Smartphone,22.0,2.0,53.0,,,,,,1.0,,,,,,2.0,2.0,,,1.0,,,4.0,2.0,,3.0,,,,,6.0,1.0,1.0,1.0,1.0,,,,1.0,
Stablecoin,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,
Virtual reality,,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,2.0,,,,
aquaponics,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,
