source,2015-04-01T00:00:00Z,2015-07-01T00:00:00Z,2015-12-01T00:00:00Z,2016-02-01T00:00:00Z,2017-01-01T00:00:00Z,2017-05-01T00:00:00Z,2017-06-01T00:00:00Z,2017-07-01T00:00:00Z,2017-08-01T00:00:00Z,2017-11-01T00:00:00Z,2017-12-01T00:00:00Z,2018-04-01T00:00:00Z,2018-05-01T00:00:00Z,2018-06-01T00:00:00Z,2018-08-01T00:00:00Z,2018-09-01T00:00:00Z,2018-10-01T00:00:00Z,2018-11-01T00:00:00Z,2018-12-01T00:00:00Z,2019-01-01T00:00:00Z,2019-02-01T00:00:00Z,2019-03-01T00:00:00Z,2019-05-01T00:00:00Z,2019-12-01T00:00:00Z,2020-01-01T00:00:00Z,2020-03-01T00:00:00Z,2020-06-01T00:00:00Z,2020-07-01T00:00:00Z,2020-08-01T00:00:00Z,2020-09-01T00:00:00Z
5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,
Cryptocurrency,,,,,,,,,,,,,,8.0,7.0,2.0,,1.0,,,,2.0,,,1.0,,2.0,1.0,3.0,2.0
Floating Liquefied Natural Gas,,,,,,,,,1.0,10.0,2.0,1.0,,,,,,,1.0,2.0,6.0,,1.0,1.0,,,,,,
Hyperloop,,,,,,,,,,,,,,,,,,,1.0,2.0,,,,,,,,,,
Internet of things,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,
Omni Processor,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rapid diagnostic test,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,
Rapid transit,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,
Smartphone,1.0,2.0,,2.0,1.0,1.0,2.0,1.0,,,,,,1.0,,,1.0,,,,,1.0,,,,,,,,3.0
Virtual reality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0
