source,2015-02-01T00:00:00Z,2015-10-01T00:00:00Z,2015-11-01T00:00:00Z,2015-12-01T00:00:00Z,2016-02-01T00:00:00Z,2016-04-01T00:00:00Z,2016-12-01T00:00:00Z,2017-07-01T00:00:00Z,2017-09-01T00:00:00Z,2017-12-01T00:00:00Z,2018-01-01T00:00:00Z,2018-02-01T00:00:00Z,2018-05-01T00:00:00Z,2018-09-01T00:00:00Z,2018-10-01T00:00:00Z,2018-11-01T00:00:00Z,2019-04-01T00:00:00Z,2019-06-01T00:00:00Z,2019-09-01T00:00:00Z,2019-10-01T00:00:00Z,2019-11-01T00:00:00Z,2020-01-01T00:00:00Z,2020-07-01T00:00:00Z,2020-09-01T00:00:00Z,2020-11-01T00:00:00Z
5g,,,,,,,,,,,,,,,,,1.0,2.0,2.0,,1.0,,,,
Cloud computing,,,,,,,,,,,,,,,,,,,,,,2.0,,,
Cryptocurrency,,2.0,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,1.0
Electric vehicle,,,,,,,,,,,1.0,,,,,,,,,,,,,,
Extended Reality,,,,,,,,,,,,,,,,,,,,,,,,1.0,
Facial recognition,,,,,,,,,,,,,,,,,,,5.0,,3.0,,,,
Gasification,,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,
Graphene,,,15.0,2.0,,,,,1.0,,,,,,,,,,,,,,,,
Internet of things,,,,,,,,1.0,,,,,,,,,,,,,,,,,
Machine vision,,,,,,,3.0,,,,,,,,,,,,,,,,,,
Neuroprosthetics,,,,,,,,,,,,,,,,,,,,1.0,,,,,
Precision agriculture,,,,,,,,,,,,,,,,1.0,,,,,,,,,
Regenerative Medicine,,,,,,,,,,,,,,,,,,,,1.0,,,,,
Smart grid,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Smartphone,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,
