source,2016-02-01T00:00:00Z,2016-03-01T00:00:00Z,2016-05-01T00:00:00Z,2016-06-01T00:00:00Z,2016-07-01T00:00:00Z,2016-08-01T00:00:00Z,2016-11-01T00:00:00Z,2017-01-01T00:00:00Z,2017-02-01T00:00:00Z,2017-03-01T00:00:00Z,2017-05-01T00:00:00Z,2017-06-01T00:00:00Z,2017-07-01T00:00:00Z,2017-09-01T00:00:00Z,2017-10-01T00:00:00Z,2017-11-01T00:00:00Z,2018-01-01T00:00:00Z,2018-03-01T00:00:00Z,2018-04-01T00:00:00Z,2018-08-01T00:00:00Z,2018-09-01T00:00:00Z,2019-04-01T00:00:00Z,2019-07-01T00:00:00Z,2019-08-01T00:00:00Z,2019-11-01T00:00:00Z,2020-01-01T00:00:00Z,2020-02-01T00:00:00Z,2020-05-01T00:00:00Z,2020-06-01T00:00:00Z,2020-07-01T00:00:00Z,2020-08-01T00:00:00Z,2020-10-01T00:00:00Z
5g,,,,,,,,,,,,,,,,1.0,,,,,,,,,2.0,,3.0,1.0,1.0,,1.0,
Augmented reality,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
Autonomous vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Cloud computing,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,,,,,,,
Cryptocurrency,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Electric vehicle,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Facial recognition,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,1.0,,,,,,
Fuel cell,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,
Hydrogen fuel,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,
Hyperloop,,16.0,4.0,1.0,2.0,7.0,,7.0,2.0,1.0,1.0,9.0,1.0,,,,,1.0,1.0,1.0,1.0,,,,,,,,,,,
Predictive maintenance,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,
Regenerative Medicine,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smart grid,,,,,,,,,,,,,,,,,,,,,,7.0,,,3.0,,,,,,,
Virtual reality,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
e-Reader,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
