source,2014-12-01T00:00:00Z,2015-01-01T00:00:00Z,2015-03-01T00:00:00Z,2015-04-01T00:00:00Z,2016-05-01T00:00:00Z,2017-05-01T00:00:00Z,2017-06-01T00:00:00Z,2017-10-01T00:00:00Z,2017-11-01T00:00:00Z,2017-12-01T00:00:00Z,2018-01-01T00:00:00Z,2018-02-01T00:00:00Z,2018-03-01T00:00:00Z,2018-06-01T00:00:00Z,2018-10-01T00:00:00Z,2018-11-01T00:00:00Z,2019-03-01T00:00:00Z,2019-05-01T00:00:00Z,2019-06-01T00:00:00Z,2019-09-01T00:00:00Z,2020-01-01T00:00:00Z,2020-05-01T00:00:00Z,2020-06-01T00:00:00Z,2020-08-01T00:00:00Z,2020-09-01T00:00:00Z
3D Bioprinting,,,,,,,,,,2.0,1.0,,,,,,,,,,,,,,
5g,,,,,,,,,,,,,,3.0,,,,,,,,1.0,2.0,8.0,
Artificial muscle,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Augmented reality,1.0,,,,,,,,,,,,1.0,,,,,,,,,,,,
Cloud computing,,,1.0,,,,,,,,,,,,,1.0,,,,,,,,,
Cryptocurrency,,,,,1.0,,,1.0,1.0,,,1.0,1.0,,,,,1.0,1.0,1.0,,,,,
Electric vehicle,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,
Extended Reality,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Facial recognition,,,,,,,,,,,,,,,,,,,,,1.0,,,,
Graphene,,,,,,,,,,,,,,,,,,,,1.0,,,,,
Internet of things,,,,,2.0,,,,,,,,,,,,,,,,,,,,
Lidar,,,,,,,,,1.0,,,,,,,,2.0,,,,,,,,
Microreactor,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Smart grid,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,1.0
Smartphone,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Zeolite,,,,,,,,,,,,,,,1.0,,,,,,,,,,
hydroponics,,,,,,,,,1.0,,,,,,,,,,,,,,,,
