source,2015-01-01T00:00:00Z,2015-08-01T00:00:00Z,2015-10-01T00:00:00Z,2017-05-01T00:00:00Z,2017-10-01T00:00:00Z,2018-01-01T00:00:00Z,2018-05-01T00:00:00Z,2018-09-01T00:00:00Z,2018-10-01T00:00:00Z,2018-11-01T00:00:00Z,2019-01-01T00:00:00Z,2019-04-01T00:00:00Z,2019-05-01T00:00:00Z,2019-07-01T00:00:00Z,2019-10-01T00:00:00Z
Carbon nanotube,1.0,,,,,,,,,,,,,,
Carbon sequestration,,,,,,,,,1.0,,,,,,
Cloud computing,,,,,,,,1.0,,,,,,,
Cryptocurrency,,,,,,2.0,,,1.0,,1.0,,1.0,,
Electric vehicle,,,,,,,1.0,,,,,,,,
Genetically modified crops,,,,,1.0,,,,,,,,,,
Genetically modified organism,,1.0,,,,,,,,,,,,,
Hyperloop,,,,,,,,,1.0,,,,,,
Rapid transit,,,,1.0,,,,,,,,,,,
Real-time polymerase chain reaction,,,,,,,,,,,,,,,1.0
Smartphone,,,,,,,,,,1.0,,,,1.0,
Stem-cell therapy,,,,,,,,,,,,1.0,,,
Virtual reality,,,1.0,,,,,,,,,,,,
