source,2013-10-01T00:00:00Z,2014-12-01T00:00:00Z,2015-01-01T00:00:00Z,2015-08-01T00:00:00Z,2015-09-01T00:00:00Z,2015-12-01T00:00:00Z,2016-01-01T00:00:00Z,2016-03-01T00:00:00Z,2016-05-01T00:00:00Z,2016-12-01T00:00:00Z,2017-05-01T00:00:00Z,2017-06-01T00:00:00Z,2017-10-01T00:00:00Z,2017-12-01T00:00:00Z,2018-02-01T00:00:00Z,2018-03-01T00:00:00Z,2018-04-01T00:00:00Z,2018-05-01T00:00:00Z,2018-06-01T00:00:00Z,2018-07-01T00:00:00Z,2018-09-01T00:00:00Z,2018-10-01T00:00:00Z,2018-11-01T00:00:00Z,2019-05-01T00:00:00Z,2019-09-01T00:00:00Z,2019-11-01T00:00:00Z,2020-03-01T00:00:00Z,2020-04-01T00:00:00Z,2020-05-01T00:00:00Z,2020-08-01T00:00:00Z
5g,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
6G,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
Augmented reality,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
Cryptocurrency,,,,,,,,,,,,,,1.0,3.0,1.0,2.0,,1.0,,1.0,1.0,1.0,1.0,,1.0,1.0,,1.0,1.0
Facial recognition,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Gene Editing,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Graphene,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,
Nanocrystal,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neural Networks,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Rapid transit,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,
Smartphone,,1.0,,,,,,,1.0,,,,,,,,,1.0,,2.0,,,,,,,,,,
Swarm robotics,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Virtual reality,,,,1.0,,,1.0,1.0,2.0,2.0,,,1.0,1.0,,,,,,,,,,,,,,1.0,,
