source,2012-05-01T00:00:00Z,2015-02-01T00:00:00Z,2015-03-01T00:00:00Z,2015-04-01T00:00:00Z,2016-02-01T00:00:00Z,2016-03-01T00:00:00Z,2016-11-01T00:00:00Z,2017-02-01T00:00:00Z,2017-06-01T00:00:00Z,2017-09-01T00:00:00Z,2017-10-01T00:00:00Z,2017-11-01T00:00:00Z,2018-02-01T00:00:00Z,2018-10-01T00:00:00Z,2018-11-01T00:00:00Z,2018-12-01T00:00:00Z,2019-01-01T00:00:00Z,2019-02-01T00:00:00Z,2019-03-01T00:00:00Z,2019-05-01T00:00:00Z,2019-06-01T00:00:00Z,2019-07-01T00:00:00Z,2019-10-01T00:00:00Z,2019-11-01T00:00:00Z,2020-02-01T00:00:00Z,2020-05-01T00:00:00Z,2020-11-01T00:00:00Z,2020-12-01T00:00:00Z
5g,,,,,,,,,,,,,,,,1.0,,,,2.0,,1.0,,1.0,,,,1.0
Augmented reality,,1.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
Cloud computing,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Cryptocurrency,,,,,,,,,,1.0,,,1.0,,1.0,,,,,1.0,,,1.0,,1.0,,,
Deep learning,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
Distributed ledger,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
Immersion (virtual reality),,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
Internet of things,,,,,2.0,,,,,,,1.0,,,,,,,,1.0,,,,,,1.0,1.0,
Regenerative Medicine,,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,
Semantic Web,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
Smart grid,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Smartphone,,,1.0,1.0,,1.0,,1.0,3.0,,1.0,,,,,,,2.0,,,,,,,,1.0,,
Virtual reality,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
concentrated solar power,1.0,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,
