source,2010-01-01T00:00:00Z,2010-02-01T00:00:00Z,2010-03-01T00:00:00Z,2010-05-01T00:00:00Z,2010-09-01T00:00:00Z,2010-12-01T00:00:00Z,2011-01-01T00:00:00Z,2011-06-01T00:00:00Z,2011-07-01T00:00:00Z,2011-10-01T00:00:00Z,2011-11-01T00:00:00Z,2012-01-01T00:00:00Z,2012-03-01T00:00:00Z,2012-06-01T00:00:00Z,2012-08-01T00:00:00Z,2012-09-01T00:00:00Z,2012-10-01T00:00:00Z,2012-11-01T00:00:00Z,2013-01-01T00:00:00Z,2013-04-01T00:00:00Z,2013-07-01T00:00:00Z,2013-08-01T00:00:00Z,2014-02-01T00:00:00Z,2014-05-01T00:00:00Z,2014-07-01T00:00:00Z,2015-01-01T00:00:00Z,2015-02-01T00:00:00Z,2015-07-01T00:00:00Z,2015-09-01T00:00:00Z,2015-11-01T00:00:00Z,2015-12-01T00:00:00Z,2016-03-01T00:00:00Z,2016-05-01T00:00:00Z,2016-06-01T00:00:00Z,2016-12-01T00:00:00Z,2017-02-01T00:00:00Z,2017-04-01T00:00:00Z,2017-06-01T00:00:00Z,2017-11-01T00:00:00Z,2018-02-01T00:00:00Z,2020-05-01T00:00:00Z
Biosensor,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbon nanotube,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
Fusion power,,1.0,2.0,1.0,1.0,1.0,1.0,,2.0,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0
Gasification,,,,,,,,,,,,1.0,,1.0,,,,,,,,1.0,,,,,1.0,1.0,,,,,,1.0,1.0,,,,,1.0,
Graphene,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,
Nanocrystal,,,,,,,,1.0,,1.0,,,2.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Neural Networks,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
Smart grid,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,1.0,1.0,1.0,,,,1.0,1.0,1.0,,
Smartphone,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,
Supercapacitor,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,
Zeolite,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
