source,2010-07-01T00:00:00Z,2010-10-01T00:00:00Z,2011-08-01T00:00:00Z,2011-11-01T00:00:00Z,2012-04-01T00:00:00Z,2012-06-01T00:00:00Z,2012-09-01T00:00:00Z,2012-11-01T00:00:00Z,2013-01-01T00:00:00Z,2013-04-01T00:00:00Z,2013-06-01T00:00:00Z,2013-09-01T00:00:00Z,2013-11-01T00:00:00Z,2014-07-01T00:00:00Z,2014-11-01T00:00:00Z,2015-01-01T00:00:00Z,2015-02-01T00:00:00Z,2015-05-01T00:00:00Z,2015-07-01T00:00:00Z,2016-03-01T00:00:00Z,2016-05-01T00:00:00Z,2016-06-01T00:00:00Z,2016-08-01T00:00:00Z,2016-11-01T00:00:00Z,2017-10-01T00:00:00Z,2018-06-01T00:00:00Z,2018-09-01T00:00:00Z,2018-11-01T00:00:00Z,2019-04-01T00:00:00Z,2019-05-01T00:00:00Z,2019-07-01T00:00:00Z,2019-10-01T00:00:00Z,2020-02-01T00:00:00Z,2020-06-01T00:00:00Z,2020-09-01T00:00:00Z,2020-12-01T00:00:00Z
Energy harvesting,1.0,,,1.0,,,,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,
Fuel cell,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Gene Editing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,1.0,1.0,1.0
Graphene,,,,,,,,,1.0,1.0,,1.0,,1.0,1.0,1.0,,2.0,,,2.0,,1.0,,,1.0,,1.0,,1.0,,1.0,1.0,,,
Lidar,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,1.0,,,,,,,,,
Machine vision,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maglev,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Neural Networks,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Phage therapy,1.0,,1.0,,,1.0,,,,,1.0,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,
Shape Memory Polymer,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,
Zeolite,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,
