source,2010-02-01T00:00:00Z,2010-03-01T00:00:00Z,2010-06-01T00:00:00Z,2010-07-01T00:00:00Z,2011-01-01T00:00:00Z,2011-02-01T00:00:00Z,2011-04-01T00:00:00Z,2011-05-01T00:00:00Z,2011-06-01T00:00:00Z,2011-08-01T00:00:00Z,2011-09-01T00:00:00Z,2012-01-01T00:00:00Z,2012-07-01T00:00:00Z,2012-08-01T00:00:00Z,2012-12-01T00:00:00Z,2013-01-01T00:00:00Z,2013-02-01T00:00:00Z,2013-07-01T00:00:00Z,2013-09-01T00:00:00Z,2014-01-01T00:00:00Z,2014-04-01T00:00:00Z,2014-07-01T00:00:00Z,2014-09-01T00:00:00Z,2014-11-01T00:00:00Z,2015-02-01T00:00:00Z,2015-03-01T00:00:00Z,2015-06-01T00:00:00Z,2015-09-01T00:00:00Z,2015-12-01T00:00:00Z,2016-01-01T00:00:00Z,2016-04-01T00:00:00Z,2016-05-01T00:00:00Z,2016-08-01T00:00:00Z,2016-10-01T00:00:00Z,2017-07-01T00:00:00Z,2017-08-01T00:00:00Z,2017-10-01T00:00:00Z,2017-12-01T00:00:00Z,2018-03-01T00:00:00Z,2018-08-01T00:00:00Z,2019-07-01T00:00:00Z,2019-08-01T00:00:00Z,2019-11-01T00:00:00Z,2019-12-01T00:00:00Z,2020-07-01T00:00:00Z,2020-09-01T00:00:00Z
5g,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,2.0
6G,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Apheresis,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Augmented reality,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,
Biosensor,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
Carbon nanotube,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Coal liquefaction,,,1.0,1.0,,1.0,,,1.0,,,,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Compressive Sensing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Conductive polymer,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,,,,,,,,,
Drug-eluting stent,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel cell,,,,,1.0,,,,,,1.0,,1.0,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Gasification,,,,,1.0,1.0,1.0,,,,,,,,,,,,1.0,,,1.0,,,,,1.0,,,1.0,,,,,,,,1.0,,,,,,,1.0,
Gesture recognition,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Graphene,,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,
Holography,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,
Internet of things,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Lidar,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Maglev,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,1.0,,,
Magnetic nanoparticles,,1.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Precision agriculture,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,
Robot end effector,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Shape-memory alloy,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Smartphone,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
Swarm robotics,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
Video tracking,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Virtual reality,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zeolite,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,
