source,2010-05-01T00:00:00Z,2011-02-01T00:00:00Z,2011-08-01T00:00:00Z,2011-11-01T00:00:00Z,2012-04-01T00:00:00Z,2012-07-01T00:00:00Z,2012-11-01T00:00:00Z,2013-07-01T00:00:00Z,2013-11-01T00:00:00Z,2014-07-01T00:00:00Z,2014-08-01T00:00:00Z,2015-12-01T00:00:00Z,2016-05-01T00:00:00Z,2016-06-01T00:00:00Z,2016-10-01T00:00:00Z,2017-01-01T00:00:00Z,2018-10-01T00:00:00Z,2019-04-01T00:00:00Z,2019-05-01T00:00:00Z,2019-06-01T00:00:00Z,2019-08-01T00:00:00Z,2019-11-01T00:00:00Z,2020-08-01T00:00:00Z,2020-09-01T00:00:00Z,2020-11-01T00:00:00Z
Electric vehicle,,,,,,,,,,,,,,1.0,,,,,,,,,,,
Fuel cell,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Gesture recognition,,,,,1.0,,,,,1.0,,,,,,,,,,,,,,,
Hydrogen fuel,1.0,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,
Mobile learning,,,,,,,,,,,,,,,,,,,,,,,,1.0,
Nanocrystal,,,,,,,,,,,1.0,,,1.0,1.0,1.0,,1.0,,1.0,,,,,
Phage therapy,,,,,,,,,,,,,,,,,,,1.0,1.0,,,,,
Rapid transit,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Virtual reality,,,,,,,,,,,,,,,,,,,,,,1.0,,,
Zeolite,,,,2.0,1.0,,1.0,1.0,1.0,,,1.0,,,,,1.0,,,,1.0,,1.0,,
