source,2010-03-01T00:00:00Z,2010-09-01T00:00:00Z,2010-10-01T00:00:00Z,2012-03-01T00:00:00Z,2012-12-01T00:00:00Z,2013-04-01T00:00:00Z,2013-07-01T00:00:00Z,2013-10-01T00:00:00Z,2013-11-01T00:00:00Z,2014-03-01T00:00:00Z,2014-06-01T00:00:00Z,2014-07-01T00:00:00Z,2014-08-01T00:00:00Z,2015-02-01T00:00:00Z,2015-04-01T00:00:00Z,2015-05-01T00:00:00Z,2016-02-01T00:00:00Z,2016-06-01T00:00:00Z,2016-10-01T00:00:00Z,2017-02-01T00:00:00Z,2017-08-01T00:00:00Z,2017-10-01T00:00:00Z,2017-11-01T00:00:00Z,2017-12-01T00:00:00Z,2018-01-01T00:00:00Z,2018-02-01T00:00:00Z,2018-03-01T00:00:00Z,2018-11-01T00:00:00Z,2019-12-01T00:00:00Z,2020-01-01T00:00:00Z,2020-02-01T00:00:00Z,2020-03-01T00:00:00Z,2020-04-01T00:00:00Z,2020-10-01T00:00:00Z
Augmented reality,,,,,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbon nanotube,,,,1.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
Conductive polymer,,,,,,,,,,1.0,,1.0,,,,1.0,,,,,1.0,2.0,1.0,,,,,,,,,,,
Drug-eluting stent,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Electric vehicle,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
Gasification,,,,,,,,1.0,,,1.0,2.0,1.0,1.0,1.0,,1.0,,,1.0,,,,1.0,,,1.0,,,,,1.0,,
Lidar,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,1.0,
NASBA,,,1.0,,,1.0,,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Neural Networks,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Precision agriculture,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,1.0,,,
Real-time polymerase chain reaction,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Smart grid,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
Zeolite,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
