source,2010-09-01T00:00:00Z,2012-02-01T00:00:00Z,2013-03-01T00:00:00Z,2013-04-01T00:00:00Z,2014-03-01T00:00:00Z,2014-04-01T00:00:00Z,2014-06-01T00:00:00Z,2014-09-01T00:00:00Z,2014-10-01T00:00:00Z,2014-12-01T00:00:00Z,2015-01-01T00:00:00Z,2015-02-01T00:00:00Z,2015-03-01T00:00:00Z,2015-04-01T00:00:00Z,2015-09-01T00:00:00Z,2016-06-01T00:00:00Z,2016-08-01T00:00:00Z,2017-01-01T00:00:00Z,2017-03-01T00:00:00Z,2017-04-01T00:00:00Z,2017-11-01T00:00:00Z,2018-06-01T00:00:00Z,2019-01-01T00:00:00Z,2020-10-01T00:00:00Z,2020-12-01T00:00:00Z
Biosensor,,,,2.0,,,,,,,,1.0,,,1.0,,,,,,,,,,
Cloud computing,,,,,,,,,,,,,,,,,,,,,,1.0,,,
Deep learning,,,,,,,,,,,,,,,,,,,,,,,,1.0,
Electric vehicle,2.0,,,,1.0,1.0,,,,,,,1.0,1.0,,1.0,,,,,1.0,,,,
Gasification,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
Graphene,,,,,,,1.0,2.0,1.0,,2.0,,,,1.0,,,,,1.0,,,1.0,,
Internet of things,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Magnetic nanoparticles,,,,,,,,,,,,1.0,,,,,,1.0,,,,,,,
Shape Memory Polymer,,,,,,,,,,,,,,,,,1.0,,,,,,,,
Smartphone,,,,,,,,,,,,,,1.0,,,,,1.0,,,,,,
hydroponics,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,
