source,2010-01-01T00:00:00Z,2010-12-01T00:00:00Z,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,2013-12-01T00:00:00Z,2014-01-01T00:00:00Z,2014-12-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2018-01-01T00:00:00Z,2020-01-01T00:00:00Z,2021-01-01T00:00:00Z
Biomining,,,,,,,,,1.0,,,
Carbon capture and storage,,,,,,,,,,,,1.0
Cryptocurrency,,,,,,,,,1.0,,,
Digital image processing,,,,,,,,,1.0,,,
Facial recognition,,,,,,,,,,,,1.0
Genetically modified crops,,,,,,1.0,,,,,,
Internet of things,,,,,,,,,,1.0,,
Learning Management System,,,,,,1.0,,1.0,,,,
Lidar,1.0,,1.0,,,,,,1.0,1.0,,
Lithium ion battery,,,,,,,,,,,1.0,
Modular Reactors,,,,,,,,,,,,1.0
Natural Language Processing,1.0,,,,,,,,,,,
Neural Networks,,,,,,,,,,,1.0,
Precision agriculture,1.0,,,,,,,,,,,
Rapid transit,,,,,,,,,1.0,,,
Regenerative Medicine,1.0,1.0,3.0,2.0,1.0,1.0,1.0,,,,,
