source,2010-01-01T00:00:00Z,2010-12-01T00:00:00Z,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z,2012-04-01T00:00:00Z,2012-05-01T00:00:00Z,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2016-03-01T00:00:00Z,2017-01-01T00:00:00Z,2017-04-01T00:00:00Z,2017-07-01T00:00:00Z,2018-01-01T00:00:00Z,2018-05-01T00:00:00Z,2019-01-01T00:00:00Z,2019-08-01T00:00:00Z,2019-12-01T00:00:00Z,2020-01-01T00:00:00Z,2020-03-01T00:00:00Z,2020-05-01T00:00:00Z,2020-06-01T00:00:00Z,2020-12-01T00:00:00Z,2021-01-01T00:00:00Z
5g,,,,,,,,,,,,1.0,,,,,,,,1.0,,,,,
Active noise control,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Aerogel,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Augmented reality,,,,,,,,1.0,2.0,,,1.0,,,,,1.0,,,,,,,,1.0
Autonomous vehicle,,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,
Biosensor,,,,1.0,,1.0,,1.0,,,,,,,,,,,,,,,,,
Carbon capture and storage,,,,,,,3.0,4.0,2.0,,,1.0,,,1.0,,,,,,,,,,1.0
Carbon sequestration,,1.0,1.0,2.0,,,2.0,2.0,1.0,1.0,,2.0,,,2.0,1.0,1.0,,,,,,,,3.0
Cloud computing,1.0,,,1.0,,,1.0,4.0,3.0,3.0,,,,,,,1.0,,,1.0,,,,,2.0
Coal liquefaction,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Companion robot,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Cryptocurrency,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0
De-extinction,,,,,,,,,,,,1.0,,,,,,,,,,,,,
Deep learning,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,1.0
Edge Computing,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Electric vehicle,,,,,,,,1.0,1.0,,,,,,1.0,,,,,,,,,,
Extended Reality,,,,,,,,,,,,,,,,,1.0,,,,,,,,
Facial recognition,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Flexible electronics,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Fuel cell,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0
Gasification,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
Gene Editing,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Gesture recognition,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Graphene,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,,
High Entropy Alloys,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Holography,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Intelligent transportation system,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Internet of things,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Learning Management System,,,,1.0,,,,2.0,1.0,,,,,,,,,,,,,,,,
Lidar,2.0,,3.0,,,,3.0,,1.0,1.0,,,,,4.0,,2.0,,,,,,,,
Life-cycle assessment,,,,1.0,,,,3.0,2.0,,,3.0,,,,,1.0,,,1.0,,,,,
Lithium ion battery,,,,,,,,,,,,,,,,,1.0,,,,,,,,
Mixed Reality,,,,,,,,,,,,,,,1.0,,1.0,,,,,,,,
Mobile learning,,,1.0,,,,,,1.0,,,1.0,1.0,,,,1.0,,,,,,,,
Natural Language Processing,,,,,,,,,,,,,,,,,,,,1.0,,,,1.0,
Neural Networks,1.0,,,2.0,,,,1.0,1.0,1.0,,3.0,,,,,,,,2.0,1.0,,,,2.0
Ocean thermal energy conversion,,,,,,,,,,,,1.0,,,,,,,,,,,,,
Organic solar cell,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,
PAV,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Phage therapy,,,,,,,,,,,,,,,,,1.0,,,,,,,,
Precision agriculture,1.0,,,,,,1.0,,,1.0,,,,,,,1.0,,,,,,,,
Radio-frequency identification,,,2.0,,,,1.0,,,1.0,,,,,,,,,,,,,,,
Rapid transit,,,,,,,,,,2.0,,,,,,,,,,,,,,,
Real-time polymerase chain reaction,,,,1.0,,,,1.0,,,,,,,,,,,,,,,,,
Regenerative Medicine,1.0,,,1.0,,,,1.0,1.0,,,,,,1.0,,2.0,,,1.0,,,,,
Semantic Web,1.0,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,
Smart grid,2.0,,1.0,,,,1.0,2.0,7.0,,,3.0,,,1.0,,2.0,,,,,,,,
Smartphone,,,,1.0,1.0,,,2.0,3.0,4.0,1.0,2.0,,1.0,2.0,,4.0,1.0,,3.0,,2.0,1.0,,
Structural health monitoring,,,2.0,,,,,1.0,1.0,2.0,,1.0,,,,,,,,,,,,,1.0
Virtual reality,1.0,,1.0,1.0,,,,,,,,1.0,,,1.0,,1.0,,,,,,,,2.0
Zeolite,,,1.0,,,,,,,,,,,,,,,,,,,,,,
aquaponics,,,,,,,,,,1.0,,,,,,,,,1.0,1.0,,,,,
concentrated solar power,1.0,,,,,,,,,,,,,,,,,,,,,,,,
second-generation biofuels,,,,,,,,,1.0,,,,,,,,,,,,,,,,
self assembly,,,,,,,,,,1.0,,,,,,,,,,,,,,,
