source,2010-01-01T00:00:00Z,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z,2014-06-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2019-01-01T00:00:00Z,2020-01-01T00:00:00Z,2021-01-01T00:00:00Z
5g,,,,,,,,,,1.0,,,
Apheresis,,,,,,,,1.0,,,,,
Augmented reality,,,,,,,,1.0,,,,,
Brain-computer interface,,,,,,,2.0,,,,,,
Carbon sequestration,,1.0,,,,,,1.0,,1.0,,,
Cloud computing,,,,,1.0,,,,,,,,
Digital image processing,2.0,,,,,,,,,,,,
Fuel cell,2.0,,,,,,1.0,,,,,,
Gasification,1.0,1.0,,1.0,,,,,,,,1.0,
Intelligent transportation system,,,,,,,,1.0,,,,,
Lidar,,,2.0,1.0,,,1.0,,,,,,
Life-cycle assessment,,1.0,,,,,,,,,,,
Lithium ion battery,,,,,1.0,,,,,,,,
Microreactor,,,,,,,1.0,,,,,,
Mobile learning,,,,,,,,,1.0,,,,
Neural Networks,,,,,,,,,1.0,,,,
Open source model,,,,,,,,1.0,1.0,,,,
Regenerative Medicine,,,1.0,1.0,1.0,1.0,,1.0,,1.0,2.0,,
Smart grid,1.0,,,1.0,,,2.0,1.0,1.0,,,,
Smartphone,,,,,1.0,,,,,1.0,,,
Virtual reality,,,1.0,,,,1.0,,,,,1.0,1.0
Zero-energy building,,,,1.0,,,,,,,1.0,,
