source,2010-01-01T00:00:00Z,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2016-09-01T00:00:00Z,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2018-03-01T00:00:00Z,2019-01-01T00:00:00Z,2019-02-01T00:00:00Z,2020-01-01T00:00:00Z,2020-12-01T00:00:00Z,2021-01-01T00:00:00Z
5g,,,,,,,,,,,,1.0,,,,
Apheresis,,,,,,,,,,,,,,,,1.0
Carbon sequestration,,,1.0,,,,,,1.0,1.0,,1.0,,,,
Cloud computing,1.0,,,1.0,,1.0,2.0,,,1.0,,3.0,,,,
Cryptocurrency,,,,,,,2.0,,,,,,,,,
Deep learning,,,,,,,,,,,,2.0,,1.0,1.0,
Electric vehicle,,,,1.0,,,,,,,,1.0,,,,
Energy harvesting,,,,,2.0,,,,,,,,,,,
Fuel cell,,,,,,1.0,,,2.0,,,,,,,
Gasification,,,,3.0,,,,,,,,1.0,,,,
Gene Editing,,,,,,,,,,,,1.0,,,,
Hydrogen fuel,,,,,,,,,1.0,,,,,,,
Intelligent transportation system,,,,,,,,,,,,,,1.0,,
Internet of things,,,,,,,,,,2.0,,1.0,,,,
Life-cycle assessment,,,,,,,1.0,,,,,,,,,
Machine vision,,,,,,,,,,,,,,,,1.0
Magnetic nanoparticles,,,,,,,1.0,,,,,,,,,
Mobile learning,,,,1.0,,,,,,1.0,,,,1.0,,
Nanosensor,,,,,,,,,1.0,,,,,,,
Natural Language Processing,1.0,,,,,,1.0,,,,,,,,,
Neural Networks,,1.0,1.0,1.0,,,,,,1.0,,,,1.0,,
Ocean thermal energy conversion,,,,,1.0,,,,,,,,,,,
Precision agriculture,,,,,,,2.0,,,,,,,,,
Radio-frequency identification,,,,,,1.0,,,,,,,,,,
Rapid transit,,,,1.0,,1.0,,,,,,,,,,
Real-time polymerase chain reaction,,,,,,,,1.0,,1.0,,,,,,
Smart grid,,1.0,1.0,1.0,1.0,3.0,2.0,,,,,1.0,,1.0,,1.0
Smartphone,,,,,1.0,,1.0,,1.0,1.0,1.0,3.0,,1.0,,
Stem-cell therapy,,,,,,,,,,1.0,,,1.0,,,
Zeolite,,,,,,,,,1.0,,,,,,,
aquaponics,,,,,1.0,,,,,,,,,,,
concentrated solar power,,,,1.0,,,,,,,,,,,,
hydroponics,,,,,,,1.0,,,1.0,,,,,,
second-generation biofuels,,,,,,,,,1.0,,,,,,,
