source,2010-01-01T00:00:00Z,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z,2014-09-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2019-01-01T00:00:00Z,2020-01-01T00:00:00Z,2020-09-01T00:00:00Z,2021-01-01T00:00:00Z
Augmented reality,,,,,,,,1.0,,,,,,
Brain-computer interface,,,,,3.0,,,,,,,,,
Carbon nanotube,,,,,,,,,1.0,,,,,
Cloud computing,,,,,,,,,,1.0,,1.0,,
DNA repair,,,,1.0,,,,,,,,,,
Deep learning,,,,,,,,,,,1.0,,,
Electric vehicle,,,,,1.0,,,,,,,,,
Graphene,,,,,,,,1.0,,1.0,,,,
Internet of things,,,,,,,,1.0,,,,,,
Lab-on-a-chip,,,,,1.0,,,,,,,,,
Lidar,,,,,,,,1.0,,1.0,,,,
Life-cycle assessment,,,1.0,1.0,2.0,,,2.0,1.0,1.0,,1.0,,
Lithium ion battery,,,,,1.0,,,,,,,,,
Machine translation,,,,,,,,,,1.0,,,,
Mobile learning,,,,1.0,,,,,,,,,,
Natural Language Processing,,,,,,,,,1.0,,,,,
Neural Networks,,,1.0,,,,,,1.0,,1.0,,,
Neuroprosthetics,,,,,,,,,,,,1.0,,
Phage therapy,,,,,,,,,,,,1.0,,
Rapid diagnostic test,,,,,,1.0,,,,,,,,
Regenerative Medicine,,,,1.0,,,,1.0,,,,,,
Smart grid,1.0,,,,,,2.0,,,,,,,
Smartphone,,,,,,,,,,,,2.0,1.0,
Structural health monitoring,,,,,1.0,,,,,,,,,
Virtual power Plant,,,,,,,,,,1.0,,,,
Zero-energy building,,1.0,,,,,,,,,,,,1.0
