source,2010-01-01T00:00:00Z,2010-08-01T00:00:00Z,2011-01-01T00:00:00Z,2011-06-01T00:00:00Z,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,2013-07-01T00:00:00Z,2014-01-01T00:00:00Z,2014-10-01T00:00:00Z,2014-11-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2016-07-01T00:00:00Z,2016-08-01T00:00:00Z,2016-11-01T00:00:00Z,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2018-06-01T00:00:00Z,2019-01-01T00:00:00Z,2019-04-01T00:00:00Z,2019-06-01T00:00:00Z,2019-09-01T00:00:00Z,2020-01-01T00:00:00Z,2020-03-01T00:00:00Z,2020-07-01T00:00:00Z,2021-01-01T00:00:00Z
5g,,,,,,,,,,,,,,,,,,,2.0,,,,,,,
6G,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
Ambient intelligence,,,,,2.0,,,,,,,,,,,,,,,,,,,,,
Apheresis,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Augmented reality,1.0,,,,,1.0,,,,,2.0,,,,,,,,1.0,,,,,,,
Biosensor,,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,
Carbon capture and storage,,,1.0,,1.0,,,,,,,,,,,,,,2.0,,,,,,,
Carbon nanotube,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
Carbon sequestration,,,2.0,,1.0,,,1.0,,,1.0,,,,,1.0,,,,,,,,,,
Cloud computing,1.0,,,,,2.0,,,,,1.0,,,,,,,,1.0,,,,,,,
Cultured meat,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
DNA repair,,,1.0,1.0,,,,,,,,,,,,,,,,,,,,,,
Deep learning,,,,,,,,,,,,,,,,,,,,,,,,,,2.0
Digital image processing,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Distributed ledger,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Edge Computing,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
Electric vehicle,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Electronic nose,,,,,,,,,,,,,,,,,,,2.0,,1.0,,,,,
Energy harvesting,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
Facial recognition,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Fuel cell,1.0,,1.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,,,,
Gasification,,,,,1.0,,,,,,1.0,1.0,,1.0,,,1.0,,,,,,2.0,,,
Genetically modified organism,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,,,
Graphene,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
Hydrogen fuel,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
Intelligent transportation system,,,,,,,,,,,,,,,,,,,1.0,,,,,,,
Internet of things,,,,,,,,,,,,,,,,,2.0,,,,,,1.0,,,
Lidar,,,,,1.0,,,2.0,,,,1.0,,,,,,,2.0,,,,,,,
Life-cycle assessment,1.0,,1.0,,,3.0,,1.0,1.0,,1.0,4.0,1.0,,1.0,2.0,2.0,1.0,5.0,1.0,,,1.0,,,1.0
Lithium ion battery,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Machine translation,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
Maglev,,,,,,2.0,,,,,,,,,,,1.0,,,,,,1.0,,,
Mobile learning,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
Natural Language Processing,2.0,,,,,1.0,,,,,,,,,,,,,1.0,,,,,,,
Neural Networks,1.0,,4.0,,2.0,1.0,,,,,,2.0,,,,1.0,,,1.0,,,,,,,
Nutritional genomics,,,,,,,,,,,,1.0,,,,,,,,,,,,,,
PAV,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Phage therapy,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,
Precision agriculture,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,
Quadcopter,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
Radio-frequency identification,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
Rapid transit,2.0,,3.0,,,,,2.0,,,,1.0,,,,2.0,,,,,,,,,,
Real-time polymerase chain reaction,1.0,1.0,,,,1.0,,,,,,,,,,,,,,,,,,,,
Regenerative Medicine,1.0,,,,,3.0,1.0,,,,,1.0,,,,,,,,,,,,,,
Semantic Web,,,,,,,,,,,,1.0,,,,,1.0,,,,,,1.0,,1.0,
Smart grid,1.0,,2.0,,2.0,3.0,,2.0,,,5.0,1.0,,,,1.0,2.0,,1.0,,,,,,,
Smartphone,,,,,1.0,,,,,,,1.0,,,,,,,,,,1.0,2.0,,,1.0
Spintronics,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Stem-cell therapy,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
Translucent concrete,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Virtual reality,1.0,,2.0,,1.0,1.0,,,,,,1.0,,,,,,,,,,,1.0,,,
Virtual reality applications,,,1.0,,,,,,,,,,,,,,,,,,,,,,,
Zeolite,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
aquaponics,,,,,,,,,,,,2.0,,,,,,,1.0,,,,,,,
concentrated solar power,,,,,,,,,,,,,,,,2.0,,,,,,,,,,
hydroponics,,,,,,,,,,,,,,,,,,,2.0,,,,1.0,,,
second-generation biofuels,1.0,,1.0,,,,,,,,,1.0,,,,,,,,,,,,,,
