source,2010-01-01T00:00:00Z,2011-01-01T00:00:00Z,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2018-01-01T00:00:00Z,2018-05-01T00:00:00Z,2019-01-01T00:00:00Z,2020-01-01T00:00:00Z,2021-01-01T00:00:00Z
Apheresis,,,,1.0,,,,,,,
Electric vehicle,,,,,,1.0,,,,,
Fuel cell,,,,,,,,,,,1.0
Gasification,,2.0,,,,,,,,,
Holography,1.0,,,,,,,,,,
Hydrogen fuel,,,,,,,,,,,1.0
Lidar,,,,,1.0,,,,,,
Machine translation,,,1.0,,,,,,,,
Mixed Reality,,,,,,,,,1.0,,
Mobile learning,,1.0,,,,,,,,1.0,
Natural Language Processing,,1.0,,,,,,,,,
Smartphone,,,,,,,1.0,1.0,,,
Zeolite,,,,2.0,1.0,,,,,,
