source,2010-01-01T00:00:00Z,2010-12-01T00:00:00Z,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z,2012-06-01T00:00:00Z,2012-11-01T00:00:00Z,2013-01-01T00:00:00Z,2013-05-01T00:00:00Z,2013-08-01T00:00:00Z,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,2015-02-01T00:00:00Z,2015-07-01T00:00:00Z,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2018-06-01T00:00:00Z,2018-11-01T00:00:00Z,2018-12-01T00:00:00Z,2019-01-01T00:00:00Z,2020-01-01T00:00:00Z,2020-05-01T00:00:00Z,2020-08-01T00:00:00Z,2020-11-01T00:00:00Z,2020-12-01T00:00:00Z,2021-01-01T00:00:00Z
5g,,,,,,,,,,,,,,,1.0,,,,,,1.0,,,,,
Amorphous metal,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
Apheresis,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
Artificial general intelligence,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Augmented reality,,,,,,,1.0,,,,,,,,1.0,,,,,1.0,,,,,,
Autonomous vehicle,,,,,,,,,,,,,,,,,,,,,1.0,,,,,
Bio-manufacturing,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
Biomining,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Biosensor,,,,,,,,,,,1.0,,,,,,,,,,,,,,,
Cancer biomarker,,,,1.0,,,,,,,,,,,,,,,,,,,,,,
Carbon capture and storage,,,3.0,,,,,,,1.0,1.0,,,1.0,1.0,1.0,,,,,1.0,,,,,
Carbon nanotube,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,
Carbon sequestration,1.0,,3.0,,,,,,,1.0,,,,,,,,,,,,,,,,
Cloud computing,,,,,,,,,,2.0,,,,,1.0,,,,,,,,,,,1.0
Cryptocurrency,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
DNA repair,,,,,,,,,,,1.0,,,,96.0,,,,,1.0,,,,,,
Deep learning,,,,,,,1.0,,,,,,,,,1.0,,,,,2.0,1.0,,,,1.0
Edge Computing,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
Electric vehicle,,,,1.0,,,1.0,,,1.0,1.0,,,,,,,,,,2.0,,,,,
Energy harvesting,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Flexible electronics,,,,,,,,,,,,,,,,,,,,1.0,,,,,,
Force Field,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Fuel cell,2.0,,,3.0,,,1.0,,,1.0,1.0,,,3.0,1.0,,,,,,1.0,,,,,
Gas-cooled fast reactor,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Gasification,,,,1.0,,,,,,,1.0,,,,,,,,,,2.0,,,,,
Gene Editing,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
