source,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z,2012-03-01T00:00:00Z,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2016-07-01T00:00:00Z,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2019-01-01T00:00:00Z,2020-01-01T00:00:00Z,2020-02-01T00:00:00Z,2021-01-01T00:00:00Z
Ambient intelligence,,,,,1.0,,,,,,,,,
Artificial general intelligence,,,,,,,,,,,,2.0,,
Deep learning,,,,,,,,,,,,1.0,,
Facial recognition,,,,,,,,,,,,,,1.0
Gasification,,,,,,,,,,,1.0,,,
Genetically modified crops,,,,,,,1.0,1.0,,,1.0,,,
Insects as food,,,,,,,,,,,,,,1.0
Internet of things,,,,,,,,,,,,1.0,1.0,
Lidar,1.0,,,,,,1.0,,,1.0,,,,
Life-cycle assessment,,,,1.0,1.0,,,,1.0,,,,,
Modular Reactors,,,,,,,,,,,1.0,,,
Neural Networks,,,,,,,1.0,,,,1.0,,,
Rapid transit,,,,,,,,,1.0,,,,,
Real-time polymerase chain reaction,,1.0,1.0,,,,,,,,,,,
Regenerative Medicine,,,,,,,,,1.0,1.0,,,,
Semantic Web,,,,,,,1.0,,,,1.0,,,
Smartphone,,,,,,1.0,,,1.0,1.0,,2.0,,
Zeolite,,,,,,,,,,,,,,1.0
concentrated solar power,,,,1.0,,,1.0,,,,,,,
hydroponics,,,,,,,1.0,,,,,,,
second-generation biofuels,,,,,,,,,1.0,,,,,
