source,2010-01-01T00:00:00Z,2010-03-01T00:00:00Z,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2019-01-01T00:00:00Z,2020-01-01T00:00:00Z,2020-09-01T00:00:00Z,2021-01-01T00:00:00Z
Aeroponics,,,,1.0,,,,,,,,,,
Augmented reality,,,,,,1.0,,,,,2.0,,,
Carbon sequestration,,,,,,1.0,,,,,,,,
Cloud computing,,,,,1.0,,,,,3.0,,,,
Electric vehicle,,,,,,,,,,,,3.0,,
Electronic nose,,,,,,,,,,,,,,1.0
Facial recognition,,,,,,,,,,,,,,1.0
Gasification,,,,,,,,,,1.0,,,,
Intelligent transportation system,,,,,,,1.0,1.0,,,,,,
Internet of things,,,,,,,,1.0,,2.0,,,,
Learning Management System,,,,,1.0,,,,,,,,,
Lidar,,,1.0,,,,,,,,,,,
Life-cycle assessment,2.0,1.0,,,,,,,,1.0,,,,
Mobile learning,,,,,,,,1.0,,,,,,
Neural Networks,,,,,1.0,1.0,,,,,1.0,2.0,1.0,
Phage therapy,,,,,,,1.0,,,,,,,
Rapid transit,2.0,,4.0,1.0,2.0,3.0,2.0,,1.0,4.0,1.0,1.0,,
Smart grid,,,,1.0,1.0,,1.0,,,,,,,
Smartphone,,,,,,,1.0,,,,1.0,,,
Urban mining,,,,,,,,,1.0,,,,,
Virtual reality,,,,,,,,,,1.0,2.0,1.0,,
Zeolite,,,,,,,,,,,,,,1.0
