source,2010-01-01T00:00:00Z,2012-01-01T00:00:00Z,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,2017-01-01T00:00:00Z,2017-05-01T00:00:00Z,2018-01-01T00:00:00Z,2019-01-01T00:00:00Z,2020-01-01T00:00:00Z
5g,,,,,,,2.0,,1.0
Carbon capture and storage,,,1.0,,,,,,
Cloud computing,,1.0,2.0,,,,,,
Electric vehicle,,,1.0,,,,,,
Fuel cell,,,,1.0,,,,,
Hydrogen fuel,,,,1.0,,,1.0,,
Lidar,,,,,,,,3.0,1.0
Mobile learning,,,,1.0,1.0,,,,
Neural Networks,,,,,1.0,1.0,,1.0,1.0
Open source model,1.0,,,,,,,,
Smartphone,,,,,1.0,,,,
Virtual reality,,1.0,,,,,,,
hydroponics,1.0,,,,,,,,
