source,2010-01-01T00:00:00Z,2012-01-01T00:00:00Z,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2019-01-01T00:00:00Z,2020-01-01T00:00:00Z,2021-01-01T00:00:00Z
Apheresis,,,,,,,,,1.0
Augmented reality,,,,,,,,1.0,
Deep learning,,,,,,,,1.0,
Internet of things,,,,,,1.0,,,
Lidar,,,1.0,2.0,2.0,,,2.0,
Metal foam,,,1.0,,,,,,
Mobile learning,,1.0,,,,,,1.0,
Rapid transit,,,,1.0,,,,,
Smart grid,,,,,1.0,,,,
Smartphone,,2.0,,,,,1.0,,
Virtual reality,1.0,,,,,,,,1.0
concentrated solar power,,,,1.0,1.0,,1.0,,
