source,2010-01-01T00:00:00Z,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2019-01-01T00:00:00Z,2020-01-01T00:00:00Z,2021-01-01T00:00:00Z
Ambient intelligence,,,1.0,,,,,,,,,
Augmented reality,,1.0,,,,,,,,,,
Carbon nanotube,,,,,1.0,,,,,,,
Carbon sequestration,,,,,,,,,1.0,,,
Cloud computing,,,,,,1.0,,1.0,,,,
Fuel cell,,,,,,,,,,1.0,,
Gas-cooled fast reactor,,,,,,,,,,1.0,,
Gasification,,,,,,1.0,,,,,,
Generation IV reactor,,,,1.0,,,,,,,,
Internet of things,,,,,,,,,1.0,,,
Learning Management System,,1.0,,,,,,,,,,
Life-cycle assessment,,,,,,,,,1.0,,,
Machine translation,,,,1.0,,,,,,,,
Mobile learning,,,,,,,,1.0,,,,
Molten salt reactor,,,,,,,1.0,,1.0,,,
Natural Language Processing,1.0,1.0,,,,,,,,,,
Neural Networks,1.0,,,,,,1.0,1.0,,1.0,1.0,
Phage therapy,,,,,,,,2.0,,,,
Regenerative Medicine,,,,,1.0,1.0,,,,,,
Smart grid,,,1.0,,1.0,,,,,,,
Smartphone,,,,2.0,,,,,,,1.0,
Spintronics,,,,,,,,,,,,2.0
Thorium fuel cycle,,,,1.0,,,,,,,,
