source,2010-01-01T00:00:00Z,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z,2012-06-01T00:00:00Z,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2018-03-01T00:00:00Z,2018-12-01T00:00:00Z,2019-01-01T00:00:00Z,2020-01-01T00:00:00Z,2020-08-01T00:00:00Z,2021-01-01T00:00:00Z
Augmented reality,1.0,,,,1.0,,,,,,,,,,,
Cancer biomarker,,,1.0,1.0,,,,,,,,,,,,
Carbon capture and storage,,3.0,,,,,,,1.0,,,,,,,
Carbon sequestration,,1.0,,,,,,,,,,,,,,
Cryptocurrency,,,,,,,,,,,,,1.0,,,
DNA repair,,,,,,,,1.0,,,,,,1.0,1.0,
Electric vehicle,,,,,,,1.0,1.0,,,,,,,,
Fuel cell,1.0,,,,2.0,,1.0,,1.0,1.0,,,,1.0,,1.0
Gasification,2.0,,1.0,,,,,,,2.0,,,,,,
Graphene,,,,,,,,,,1.0,,,1.0,,,
Hydrogen fuel,,,,,,,,,,,,,,,,1.0
Intelligent transportation system,,,1.0,,,,,,,,,,,,,
Internet of things,,,,,,,,,,,,,,1.0,,
Lidar,,,,,,1.0,,,,,,,,,,
Life-cycle assessment,,,,,,,,,,,,,1.0,,,
Microfluidics,,,1.0,,,,,,,,,,,,,
Microreactor,,,,,1.0,,,,,,,,,,,
Mixed Reality,,,,,,,,,,,1.0,,1.0,,,
Mobile learning,,,1.0,,,,,,2.0,,,,,,,
Natural Language Processing,,,,,,,2.0,,,,,,,,,
Smart grid,,2.0,,,2.0,2.0,4.0,1.0,3.0,,,,,,,
Smartphone,,,,,1.0,1.0,1.0,1.0,,,,1.0,,,,
Structural health monitoring,,,,,,1.0,,,,,,,,,,
Virtual reality,,,,,,,2.0,,,1.0,,,,1.0,,
