source,2012-01-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2019-01-01T00:00:00Z,2020-01-01T00:00:00Z,2020-11-01T00:00:00Z,2021-01-01T00:00:00Z
5g,,,1.0,,,1.0,,,
Aeroponics,1.0,,,,,,,,
Augmented reality,,,1.0,,1.0,,,,
Carbon sequestration,1.0,,,,,,,,
Cloud computing,,,,1.0,1.0,2.0,,,
Genetically modified crops,,1.0,,,,,,,
Learning Management System,,,,,,,1.0,,
Lidar,,,,,,1.0,,,
Magnetic nanoparticles,,,,,,,1.0,1.0,
Mobile learning,,,,,1.0,,,,
Natural Language Processing,,,,1.0,,,,,
Neural Networks,,,,,,2.0,,,
PAV,,,,,,,,,1.0
Rapid transit,,,1.0,1.0,,1.0,,,
Semantic Web,,,1.0,,,1.0,,,
