source,2010-01-01T00:00:00Z,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2019-01-01T00:00:00Z,2019-04-01T00:00:00Z,2020-01-01T00:00:00Z,2021-01-01T00:00:00Z
Augmented reality,,,,,,,,,1.0,,,
Biomining,,,,,,,,,1.0,,,
Cloud computing,,,,1.0,1.0,,,,,,,
Fuel cell,,,,,,,,,,,1.0,
Life-cycle assessment,,,,1.0,1.0,,,,,,1.0,
Machine vision,,,,,1.0,,,,,,,
Microfluidics,,,1.0,,,,,,,,,
Mobile learning,,1.0,1.0,,,1.0,,2.0,,,,
Natural Language Processing,,,,,,1.0,,,,,,
Rapid diagnostic test,,,,,,,,,,,1.0,
Regenerative Medicine,,,,,,,,,,,3.0,1.0
Smart grid,,,,,,,1.0,,,,,
Smartphone,,,,,1.0,,,,,,,
Stem-cell therapy,1.0,,,,,,,,,,,
Zeolite,,,1.0,,,,,,,,,
aquaponics,,,,,,,,1.0,1.0,1.0,,
artificial island,,,,,1.0,,,,,,,
concentrated solar power,,,,,,,1.0,,,,,
hydroponics,,,,,,2.0,,,,,,
