source,2010-01-01T00:00:00Z,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2019-01-01T00:00:00Z,2020-01-01T00:00:00Z,2021-01-01T00:00:00Z
5g,,,,,,,1.0,1.0,1.0,2.0,2.0,
6G,,,,,,,,,,1.0,,
Augmented reality,,,,,1.0,,,3.0,1.0,,,
Carbon capture and storage,,1.0,1.0,,,,1.0,1.0,,,,
Carbon nanotube,,1.0,,,,,,,,,,
Carbon sequestration,,,,,,,,,,,1.0,1.0
Cloud computing,,1.0,1.0,,,,,1.0,,,,
Deep learning,,,,,,1.0,,,,,,1.0
Distributed ledger,,,,,,,,,,1.0,,
Electric vehicle,,,,,,,,,1.0,,,
Energy harvesting,,1.0,,,,,,,1.0,,,
Fuel cell,,,1.0,,,,,,,1.0,1.0,
Fullerene,,,,1.0,,,,,,,,
Gasification,1.0,,,,,,1.0,,,,,
Graphene,,,,1.0,,,,,,,,
Hydrogen fuel,,,,,,,,,,,1.0,
Internet of things,,,,,,,2.0,,,,,
Lidar,,,1.0,1.0,,,2.0,,,3.0,5.0,
Life-cycle assessment,,1.0,2.0,1.0,,,,1.0,,,,
Machine vision,,,,,,,,,1.0,,,
Mixed Reality,,,,,,1.0,,,,,,
Mobile learning,1.0,,,,1.0,,,,,1.0,,
Natural Language Processing,,1.0,,,,,,,,,,
Power-to-X,,,,,,,,,,1.0,,
Regenerative Medicine,,,,,,2.0,,,1.0,,2.0,2.0
Semantic Web,2.0,,1.0,,1.0,,,,,1.0,,
Smart grid,,1.0,,,,,,1.0,,,,
Smartphone,,,,,,,1.0,1.0,,,,
Structural health monitoring,,,,,1.0,,,,,,,
Virtual reality,,,,,,,,2.0,1.0,,,
Zeolite,,,,,,,1.0,,,,,
Zero-energy building,,,,,,,,1.0,,,,
aquaponics,,,,,,,1.0,1.0,,,1.0,
