source,2010-01-01T00:00:00Z,2010-08-01T00:00:00Z,2011-01-01T00:00:00Z,2011-04-01T00:00:00Z,2012-01-01T00:00:00Z,2012-12-01T00:00:00Z,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z,2014-04-01T00:00:00Z,2015-01-01T00:00:00Z,2015-11-01T00:00:00Z,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2018-02-01T00:00:00Z,2018-08-01T00:00:00Z,2019-01-01T00:00:00Z,2019-08-01T00:00:00Z,2019-10-01T00:00:00Z,2020-01-01T00:00:00Z,2020-08-01T00:00:00Z,2021-01-01T00:00:00Z
5g,,,,,,,,,,,,,,1.0,,,1.0,,,,,
Augmented reality,,,,,,,,,,,,1.0,1.0,1.0,,,,,,1.0,,
Autonomous vehicle,,,,,,,,,,1.0,,,,,,,,,,,,
Biosensor,,,,,,,,,,,,1.0,,,,,1.0,,,,,
Carbon capture and storage,,,,,,,1.0,,,,,,,,,,,,,1.0,,
Carbon sequestration,,,,,,,,,,,,,,,,,,,,2.0,,
Cloud computing,,,,,1.0,,1.0,,,,,,1.0,,,,,,,1.0,,
Cryptocurrency,,,,,,,,,,,,,,,,,1.0,,,,,
Deep learning,,,,,,,,,,,,,,1.0,,,1.0,,,,,
Edge Computing,,,,,,,,,,,,,,,,,1.0,,,,,
Electric vehicle,1.0,,,,,,,4.0,,,,,1.0,2.0,,,,,,,,
Energy harvesting,,,,,,,,,,,,,1.0,,,,,,,,,
Flexible electronics,,,,,,,1.0,1.0,,,,,,,,,,,,1.0,,
Fuel cell,1.0,,,,,,1.0,1.0,,2.0,,,2.0,1.0,,,1.0,,,,,
Fullerene,,,,,,,1.0,,,,,,,,,,,,,,,1.0
Gas-cooled fast reactor,1.0,,,,,,1.0,,,,,,,,,,1.0,,,,,
Gasification,2.0,,,,,,,1.0,,,,,,,,,,,,,,
Generation IV reactor,,,,,,,,,,,,,,,,,1.0,,,,,
Genetically modified organism,,,1.0,,,,,,,,,,,,,,,,,,,
Graphene,,,1.0,,1.0,,,,,1.0,,,,,,,,,,1.0,,
Holography,,,,,1.0,,,,,,,,,,,,,,,,,
Hydrogen fuel,,,,,,,,,,,,,1.0,,,,,,,,,
Internet of things,,,,,,,,1.0,,,,,,,,,,,,,,
Learning Management System,,,,,,,1.0,,,,,,1.0,,,,,,,,,
Lidar,3.0,1.0,1.0,,1.0,,1.0,2.0,,1.0,,1.0,3.0,1.0,,,1.0,,,2.0,,1.0
Life-cycle assessment,,,1.0,,1.0,,2.0,1.0,,,,1.0,,1.0,,,3.0,,1.0,,,1.0
Machine translation,,,,,,,,,,,,1.0,,,,,,,,,,
Microelectromechanical systems,,,,,,,,,,1.0,,,,,,,,,,,,
Microfluidics,,,,,,,,,,2.0,,,,,,1.0,,,,,,
Microreactor,1.0,,,,,,,,,,,,,,,,,,,,,
Mobile learning,,,,,,,,1.0,,,,,,,,,,,,,,
Molten salt reactor,,,,,1.0,,,,,,,,,,,,,,,,,
Nanocrystal,,,,,,,,,,1.0,,,,,,,,,,,,
Natural Language Processing,,,,,,,1.0,,,,,,,,,,3.0,,,,,
Neural Networks,,,,,,,,,,1.0,,,2.0,,,,,,,,,
Optical computing,,,,,,,,,,,,,,,,,1.0,,,,,
Phage therapy,1.0,,,,,,,,,,,,,,,,,,,1.0,,
Physical Internet,,,,,,,,,,,,,1.0,,,,,,,,,
Plasma Medicine,,,,,,,,,,1.0,,,,,,,,,,,,
Railgun,,,,,,,,1.0,1.0,,,,,,,,,,,,,
Rapid diagnostic test,,,,,,,,,,,1.0,1.0,,,,,,,,,,
Rapid transit,1.0,,,,,,,1.0,,,,,,1.0,,,1.0,,,,,
Real-time polymerase chain reaction,,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,,,,
Regenerative Medicine,1.0,,2.0,,,,,2.0,,1.0,,,,1.0,,,,,,1.0,,1.0
Semantic Web,,,,,,,2.0,,,1.0,,,1.0,1.0,,,,,,,,
Silicene,,,,,,,,1.0,,,,,,,,,,,,,,
Smart grid,1.0,,,,,,,,,,,1.0,,1.0,,,,,,,,
Smartphone,,,,,,,1.0,,,,,2.0,,,1.0,,4.0,1.0,,2.0,2.0,
Sodium-cooled fast reactor,,,1.0,,,,1.0,,,1.0,,1.0,,,,,1.0,,,,,
Spintronics,,,,,,,,,,1.0,,,,,,,,,,,,
Stem-cell therapy,1.0,,,,,,,,,,,,,,,,,,,,,
Structural health monitoring,,,,,,,,,,,,,,,,,1.0,,,,,1.0
Thorium fuel cycle,,,,,,,1.0,,,,,,,,,,,,,,,
Urban mining,,,,,1.0,,,,,,,,,,,,,,,,,
Virtual reality,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,1.0
Zeolite,,,,,,,,1.0,,,,,,,,,,,,,,
aquaponics,,,,,,,,,,,,,,,,,,,,1.0,,
music technology,,,,,,,,,,,,,1.0,,,,,,,,,
self assembly,,,,,,,,,,1.0,,1.0,,,,,,,,,,
