source,2010-01-01T00:00:00Z,2011-01-01T00:00:00Z,2011-09-01T00:00:00Z,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2018-04-01T00:00:00Z,2018-10-01T00:00:00Z,2019-01-01T00:00:00Z,2019-10-01T00:00:00Z,2020-01-01T00:00:00Z,2020-09-01T00:00:00Z
Autonomous vehicle,,,,,,,,,,,,,1.0,,,
Carbon sequestration,,,,,,,,1.0,,,,,,,,
Cloud computing,,,,,,,1.0,,,,,,,,,
Cryptocurrency,,,,,,,,,1.0,1.0,,,,,,
Deep learning,,,,,,,,,,1.0,,,1.0,,,
Digital image processing,,,,,,,,,,,,,1.0,,,
Electric vehicle,,,,,,,,,,,,,,,1.0,
Fuel cell,1.0,,,1.0,,,1.0,,,1.0,,,,,1.0,
Graphene,3.0,3.0,1.0,1.0,,,,,,,,,,,1.0,
Internet of things,,,,,,1.0,,,,,,,,,,
Lidar,1.0,1.0,,2.0,,1.0,,2.0,,3.0,,,,,2.0,
Life-cycle assessment,,,,1.0,,,,1.0,,,,,,,,
Magnetic nanoparticles,,,,,1.0,,,,,,,,,,,
Metamaterial,,,,,,,,1.0,,,,,,,,
Mobile learning,,1.0,,,,,,,,,,,,,,
Natural Language Processing,,,,,,,,,,,,,,,1.0,
Phage therapy,,,,,,,1.0,,,3.0,1.0,1.0,,,1.0,1.0
Physical Internet,,,,,,,,,1.0,,,,,,,
Railgun,,,,1.0,,,,,,,,,,,,
Semantic Web,,,,1.0,,,,,,,,,1.0,,,
Smartphone,,,,,,,,,,,,,2.0,1.0,1.0,
Structural health monitoring,,,,1.0,,,,,,,,,,,,
Superalloy,,,,1.0,,,,,,,,,,,,
Virtual reality,,,,,,,,1.0,,,,,,,1.0,
Wireless power transfer,,,,,,,,,,,,,1.0,,,
music technology,1.0,,,,,,1.0,,,,,,1.0,,,
