source,2010-01-01T00:00:00Z,2010-03-01T00:00:00Z,2010-11-01T00:00:00Z,2011-01-01T00:00:00Z,2011-11-01T00:00:00Z,2012-01-01T00:00:00Z,2012-06-01T00:00:00Z,2012-09-01T00:00:00Z,2013-01-01T00:00:00Z,2013-04-01T00:00:00Z,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,2015-04-01T00:00:00Z,2015-07-01T00:00:00Z,2015-12-01T00:00:00Z,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2017-10-01T00:00:00Z,2018-01-01T00:00:00Z,2019-01-01T00:00:00Z,2019-08-01T00:00:00Z,2019-11-01T00:00:00Z,2020-01-01T00:00:00Z,2020-09-01T00:00:00Z,2021-01-01T00:00:00Z
5g,,,,,,,,,,,,2.0,,,,,,,,,,,1.0,,
Aerogel,,,,,,,,,,,,,,,,,,,1.0,,,,,,
Ambient intelligence,,,,,,,,,,,1.0,,,,,,,,,,,,,,
Apheresis,,,,,,1.0,1.0,,,,,1.0,1.0,,,1.0,,,,,,,,,
Artificial gravity,,,,,,,,,1.0,,1.0,,,,,,,,,,,,,,
Augmented reality,1.0,,,,,,,,,,1.0,,,,,1.0,1.0,,,,,,,,1.0
Biomass to liquid,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Biosensor,,,,,,1.0,,1.0,,,,,,,,,,,,1.0,,,,,
Brain-computer interface,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Carbon capture and storage,,,,,,1.0,,,1.0,,,,,,,,,,,1.0,,,,,
Carbon nanotube,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Carbon sequestration,,,,,,,,,,,,,,,1.0,2.0,,,,1.0,,,,,
Cloud computing,,,,,,3.0,,,,,,3.0,,,,1.0,,,,1.0,,1.0,2.0,,
Cryptocurrency,,,,,,,,,,,,,,,,2.0,,,,1.0,,,,,
Cultured meat,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,,
DNA repair,1.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,,,,,
Deep learning,,,,,,,,,,,,,,,,1.0,,,1.0,,,,1.0,,3.0
Electric vehicle,,,,,,,,,,,3.0,1.0,,,,2.0,1.0,,4.0,,,,1.0,,
Energy harvesting,,,,,,,,,,,1.0,,,,,,,,,,,,1.0,,
Fuel cell,1.0,,,1.0,,3.0,,,3.0,,,5.0,,,,,4.0,,,2.0,,,,,3.0
Fuel cell vehicle,,,,,,,,,,,,1.0,,,,,,,,,,,,,
Fullerene,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Gas generator,,,,,,2.0,,,,,,,,,,,,,,,,,,,
Gasification,2.0,,,,,3.0,,,,,,,,,,1.0,,,,,,,,,
Gene Editing,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,
Gesture recognition,,,,1.0,,,,,,,,,,,,,,,,,,,,,
Graphene,3.0,,,,,,,,1.0,,,1.0,,,,1.0,,,2.0,,,,1.0,,1.0
Holography,,,,,,,,,,,,1.0,,,,,,,,,,,,,
Hydrogen fuel,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,2.0
