source,2010-01-01T00:00:00Z,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2018-11-01T00:00:00Z,2019-01-01T00:00:00Z,2020-01-01T00:00:00Z,2021-01-01T00:00:00Z
5g,,,,,,,,,,,,,1.0
Aeroponics,,,,,,,,1.0,,,,,
Carbon sequestration,,1.0,,,,,,,,,,,
Cloud computing,,,,3.0,1.0,2.0,4.0,,,,,,1.0
Electric vehicle,,,,,,,,,1.0,,,,
Fuel cell,,,,,,1.0,,,,,,,
Intelligent transportation system,,1.0,,,,,,,,,,,
Learning Management System,,,,,,1.0,,1.0,,,,,1.0
Lidar,,,,,,,1.0,,,,1.0,,
Life-cycle assessment,,1.0,1.0,,,,,,,,,,
MAHEM,1.0,,,,,,,,,,,,
Mobile learning,,,2.0,2.0,1.0,1.0,,,1.0,,1.0,,
Radio-frequency identification,,,,,,,,,,,,1.0,
Rapid diagnostic test,,,,,,,,,2.0,1.0,,,
Smart grid,,,,,,,,,,,2.0,,
Smartphone,,,,,,,,1.0,2.0,,1.0,,
Urban mining,,,,,,,1.0,,,,,,
