source,2010-01-01T00:00:00Z,2011-01-01T00:00:00Z,2011-08-01T00:00:00Z,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2019-01-01T00:00:00Z,2020-01-01T00:00:00Z,2021-01-01T00:00:00Z
Augmented reality,,,,,,,,1.0,,,,1.0,
Cloud computing,,,,1.0,,1.0,,,1.0,,,,
Gasification,,,,,,,,,,,1.0,,
Graphene,,,,,,1.0,,,,1.0,,,
Internet of things,,,,,,,,,1.0,,,,
Lidar,,,,3.0,,1.0,,,1.0,,2.0,1.0,
Life-cycle assessment,,,,1.0,,1.0,,2.0,,,,,
Mixed Reality,,,,,,,,,,,,1.0,
Mobile learning,,,,,,2.0,2.0,2.0,1.0,,,1.0,1.0
Neural Networks,1.0,1.0,1.0,2.0,1.0,,3.0,,,,1.0,1.0,1.0
Precision agriculture,,,,,,,,,,1.0,,,
Regenerative Medicine,,,,,,1.0,,1.0,,,,1.0,
Semantic Web,2.0,3.0,,1.0,,,,,,,,,
Smartphone,,,,,,,,,,,,1.0,1.0
Structural health monitoring,,,,,,1.0,,,,,,,
Virtual reality,1.0,,,,,,2.0,1.0,,,,,
music technology,,,,,,,,,,1.0,,,
