source,2010-01-01T00:00:00Z,2011-01-01T00:00:00Z,2011-06-01T00:00:00Z,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,2015-04-01T00:00:00Z,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z
Biosensor,,,,1.0,,,,,,,
Carbon sequestration,,,,,,1.0,1.0,,,,
ISCOM,,1.0,1.0,,,,,,,,
Lidar,,,,,,,,,1.0,,
Machine vision,1.0,1.0,,,,,,,,,1.0
Microfluidics,,,,,,,1.0,1.0,,,
Mobile learning,,,,,,,,,,1.0,
Radio-frequency identification,,,,,,,,,1.0,,
Real-time polymerase chain reaction,,,,,2.0,,,,,,
hydroponics,,,,,,,1.0,,,,
