source,2010-01-01T00:00:00Z,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2019-01-01T00:00:00Z,2019-05-01T00:00:00Z,2020-01-01T00:00:00Z,2020-06-01T00:00:00Z
Apheresis,,,,,,,,,,1.0,1.0,,
Autonomous vehicle,,,,,,,,1.0,,,,,
Cancer biomarker,,,,,,,2.0,,,,,,
Cloud computing,,,,,,,,,,,,1.0,
Electric vehicle,,,,,,,,,,1.0,,,
Fuel cell,,1.0,,,,,,,,,,,
Fuel cell vehicle,,1.0,,,,,,,,,,,
Gas-cooled fast reactor,,,,,,,,,,1.0,,,
Genetically modified crops,,,,1.0,,,,,,,,,
Graphene,1.0,,,,,,,,,,,,
Internet of things,,,,,,,,,1.0,,,,
Learning Management System,,,,,,,,1.0,,,,,
Lidar,,,,,,1.0,1.0,1.0,1.0,,,,
Machine translation,,,,1.0,,,,,,,,,
Mobile learning,,,,,1.0,1.0,,1.0,,,,,
Natural Language Processing,,,,,,,,1.0,,,,,
Neural Networks,,,,1.0,,,,,,,,,
Precision agriculture,,,1.0,,,,,1.0,,,,,
Regenerative Medicine,,,,,,,,,,2.0,,,
Smartphone,,,,,,1.0,,,,1.0,,,
Spintronics,,,,,,,,,2.0,,,,
Virtual reality,,,,,,,,,,,,3.0,1.0
