source,2010-01-01T00:00:00Z,2011-01-01T00:00:00Z,2011-07-01T00:00:00Z,2011-10-01T00:00:00Z,2012-01-01T00:00:00Z,2012-04-01T00:00:00Z,2012-07-01T00:00:00Z,2013-01-01T00:00:00Z,2013-05-01T00:00:00Z,2013-07-01T00:00:00Z,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,2015-03-01T00:00:00Z,2015-07-01T00:00:00Z,2015-08-01T00:00:00Z,2016-01-01T00:00:00Z,2016-11-01T00:00:00Z,2016-12-01T00:00:00Z,2017-01-01T00:00:00Z,2017-09-01T00:00:00Z,2017-11-01T00:00:00Z,2018-01-01T00:00:00Z,2018-02-01T00:00:00Z,2018-04-01T00:00:00Z,2018-05-01T00:00:00Z,2018-07-01T00:00:00Z,2018-10-01T00:00:00Z,2018-12-01T00:00:00Z,2019-01-01T00:00:00Z,2019-06-01T00:00:00Z,2019-08-01T00:00:00Z,2019-09-01T00:00:00Z,2020-01-01T00:00:00Z,2020-03-01T00:00:00Z,2020-04-01T00:00:00Z,2020-05-01T00:00:00Z,2020-11-01T00:00:00Z,2021-01-01T00:00:00Z
5g,,,,,,,,,,,,1.0,,,,,,,1.0,,,1.0,,,,,,,1.0,,,,3.0,,,,,4.0
6G,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0
Aerogel,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Aeroponics,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,,,,,,,,
Apheresis,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,1.0
Augmented reality,,1.0,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,
Biomass to liquid,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
Bioplastic,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,
Biosensor,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,2.0,,,1.0,,
Cancer biomarker,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,
Carbon capture and storage,,2.0,,,1.0,,,,,,,1.0,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,
Carbon nanotube,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Carbon sequestration,1.0,,,,1.0,,,3.0,,,4.0,1.0,,,,2.0,,,3.0,,,,,,,,,,,,,,1.0,,,,,
Cloud computing,1.0,3.0,,,2.0,,,13.0,,,8.0,12.0,,,,14.0,,,14.0,,,12.0,,,,1.0,,,7.0,,,,3.0,,,,,2.0
Cryptocurrency,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,1.0,,,,,,,,,1.0
DNA repair,,1.0,,,,,,,,,,,,,,2.0,,,2.0,1.0,,,,1.0,,,,,,,,,2.0,1.0,,,,
Deep learning,,,,,,,,,,,,,,,,,,,3.0,,,1.0,,,,,,,5.0,,,,9.0,,,,,6.0
Digital image processing,,,,,,,,1.0,,,,1.0,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
Distributed ledger,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,1.0,,,,,
Document automation,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
