source,2010-01-01T00:00:00Z,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z,2014-08-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2018-04-01T00:00:00Z,2019-01-01T00:00:00Z,2019-07-01T00:00:00Z,2020-01-01T00:00:00Z,2020-04-01T00:00:00Z,2020-08-01T00:00:00Z,2021-01-01T00:00:00Z
5g,,,,,,,,,1.0,3.0,,4.0,,5.0,,,2.0
Aerogel,,,,,,,,,,1.0,,,,,,,
Apheresis,,,,,,1.0,1.0,,,,,,,,,,
Augmented reality,,,,2.0,,,3.0,4.0,2.0,6.0,,3.0,,9.0,,,4.0
Bioplastic,,,,,,,,2.0,,1.0,,,,,,,
Carbon capture and storage,,,,,,,,,2.0,,,,,,,,
Carbon sequestration,,1.0,,,,,1.0,,,,,,,1.0,,,
Cloud computing,,,5.0,3.0,4.0,,3.0,4.0,3.0,7.0,,6.0,,3.0,,,
Coal liquefaction,1.0,,,,,,,1.0,,,,,,,,,
Cryptocurrency,,,,,,,,2.0,,1.0,,10.0,,4.0,,,1.0
Deep learning,,,,,,,,,,1.0,,,,5.0,,,2.0
Digital image processing,,,,,,,,,,2.0,,,,,,,
Dye-sensitized solar cell,1.0,,,,,,,,,,,1.0,,,,,1.0
Electric vehicle,2.0,,,1.0,2.0,,,1.0,1.0,3.0,,1.0,,8.0,,,2.0
Electronic cigarette,,,,,,,,,1.0,,,,,,,,
Force Field,,,,,,,,,1.0,,,,,,,,
Fuel cell,1.0,,,,,,,1.0,,,,1.0,,1.0,,,
Gasification,,,2.0,,2.0,,1.0,1.0,2.0,3.0,,4.0,,1.0,,,1.0
Genetically modified crops,,,,,,,,,,,,,,1.0,,,
Genetically modified food,,,,,,,,,,,,,,1.0,,,
Genetically modified organism,,,,,1.0,,,,,,,,,,,,
Graphene,,,,,,,,,,,,,,1.0,,,
Hydrogen fuel,1.0,,,,,,,,,,,,,,,,
Intelligent transportation system,,,,,,,,,,1.0,,,,,,,
Internet of things,,,2.0,,,,,1.0,3.0,4.0,,5.0,,6.0,,,5.0
Learning Management System,,,2.0,,1.0,,1.0,1.0,,3.0,,2.0,,2.0,,,1.0
Lidar,1.0,,1.0,1.0,,,,,,1.0,,,,,,,
Life-cycle assessment,3.0,1.0,1.0,,,,,2.0,1.0,3.0,,1.0,,2.0,,,
Lithium ion battery,,,,,,,,,,1.0,,,,,,,
Machine translation,,1.0,,,,,,1.0,1.0,,,1.0,,3.0,,,2.0
Machine vision,,,,1.0,,,,1.0,,,,,,,,,
Mixed Reality,,,,,,,,,,,,1.0,,,,,
Mobile learning,,1.0,,,3.0,,4.0,2.0,5.0,5.0,,6.0,,3.0,,,1.0
Natural Language Processing,,1.0,1.0,1.0,1.0,,,1.0,1.0,2.0,,2.0,,,,,1.0
Neural Networks,1.0,,,,,,1.0,,,,,3.0,,1.0,,,
Ocean thermal energy conversion,,,,,,,,,,,,,,1.0,,,1.0
PAV,,,,,,,,,,,,,,2.0,,,1.0
Precision agriculture,,,,,,,,,1.0,,,1.0,,1.0,,,
Predictive maintenance,,,,,,,,,,,,,,1.0,,,
Quadcopter,,,,,1.0,,,,,,,,,,,,
Radio-frequency identification,1.0,,,,,,1.0,,1.0,,,1.0,,,,,1.0
Rapid transit,2.0,,1.0,,1.0,,,1.0,,5.0,,4.0,,2.0,,,1.0
Real-time polymerase chain reaction,,,,,,,,,,2.0,1.0,,,,,,
Semantic Web,,1.0,,1.0,1.0,,,,1.0,,,,,,,,
Smart grid,,,,,,,,,2.0,,,,,,,,
Smartphone,,2.0,3.0,8.0,7.0,,5.0,7.0,18.0,36.0,,30.0,1.0,14.0,1.0,1.0,8.0
Stem-cell therapy,,,,,,,,,,,,,,1.0,,,
Superalloy,,,,,,,,,,,,,,1.0,,,
Supercapacitor,,,,,,,,1.0,,,,,,,,,
Virtual power Plant,,,,,,,,,,1.0,,,,,,,
Virtual reality,,,,,,,1.0,,4.0,7.0,,3.0,,2.0,,,1.0
Wireless power transfer,,,,,,,,,1.0,,,,,,,,
Zeolite,3.0,,1.0,,2.0,,3.0,,3.0,7.0,,2.0,,,,,1.0
Zero-energy building,,,,,,,,,1.0,,,,,,,,
aquaponics,,,,,,,,1.0,,,,,,1.0,,,
concentrated solar power,,,,1.0,,,,,,,,,,,,,
hydroponics,,,,,,,,,,,,,,1.0,,,
