source,2010-01-01T00:00:00Z,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z,2014-04-01T00:00:00Z,2015-01-01T00:00:00Z,2015-07-01T00:00:00Z,2015-08-01T00:00:00Z,2016-01-01T00:00:00Z,2016-03-01T00:00:00Z,2017-01-01T00:00:00Z,2017-07-01T00:00:00Z,2018-01-01T00:00:00Z,2018-12-01T00:00:00Z,2019-01-01T00:00:00Z,2019-06-01T00:00:00Z,2020-01-01T00:00:00Z,2020-04-01T00:00:00Z,2020-08-01T00:00:00Z,2020-09-01T00:00:00Z,2021-01-01T00:00:00Z
Biosensor,,,1.0,,1.0,,1.0,,,1.0,,14.0,,7.0,,5.0,,1.0,,,,1.0
Carbon sequestration,1.0,2.0,,2.0,,,3.0,,1.0,1.0,,,,,,1.0,,,,,,
Cloud computing,,,,4.0,1.0,,1.0,,,2.0,,1.0,,1.0,,1.0,,1.0,,,,
Deep learning,,,1.0,,,,,,,,,,,,,,,2.0,,1.0,,
Digital image processing,,,,,,,,,,,,,,,,,,1.0,,,,
Electric vehicle,,,,,1.0,,,,,,,,,,,,,,,,,
Fuel cell,1.0,1.0,,2.0,2.0,,1.0,,,2.0,,1.0,,2.0,,,,2.0,,,,
Gasification,,,,,,,,,,,,,,1.0,,,,1.0,,,,
Gene Editing,,,,,,,,,,,,1.0,,,,,,,,,,
Genetically modified crops,,1.0,,,,,,,,,,,,,,,,,,,,
Graphene,,,,1.0,1.0,,,,,,,,,1.0,,,,1.0,,,,
Intelligent transportation system,,,,1.0,,,,,,,,,,,,,,,,,,
Internet of things,,,,,,,,,,1.0,,,,,,,,,,,,
Life-cycle assessment,,,,1.0,1.0,1.0,,,,4.0,,1.0,,2.0,,,,3.0,1.0,,,1.0
Machine vision,,,,,,,,,,,,,,,,1.0,,,,,,
Maglev,1.0,,,,,,,,,,,,,,,,,,,,,
Magnetic nanoparticles,,,1.0,,1.0,,,,,,,,,,,,,,,,,
Microfluidics,,,,,,,,,,1.0,,,,,,,,,,,,
Mobile learning,2.0,,1.0,1.0,,,,,,,,,,,,,,1.0,,,,
Natural Language Processing,,,,,,,,,,,,,,1.0,,,,,,,,
Neural Networks,2.0,3.0,4.0,3.0,5.0,,2.0,,,1.0,,5.0,,4.0,,2.0,,2.0,,,,1.0
Precision agriculture,1.0,,,2.0,1.0,,,,,1.0,,,,1.0,,,,,,,,
Quantum dot,,,1.0,,,,,,,,,,,,,,,,,,,
Radio-frequency identification,,2.0,,,,,,,,,,,,1.0,,,,,,,,
Rapid diagnostic test,,,,,,,,,,,,1.0,1.0,,,,,,,,,
Real-time polymerase chain reaction,,,,,,,,,,2.0,1.0,,,,,,,,,,,
Regenerative Medicine,,1.0,1.0,1.0,2.0,,1.0,1.0,,7.0,,3.0,,10.0,1.0,5.0,1.0,3.0,,,1.0,1.0
Smart grid,,2.0,,1.0,1.0,,,,,,,1.0,,3.0,,,,,,,,
Smartphone,,,,,,,,,,,,1.0,,,,,,,,,,
Stem-cell therapy,1.0,,,,,,,,,,,,,,,,,,,,,
Supercapacitor,,,,,,,,,,,,1.0,,,,,,,,,,
Targeted drug delivery,,,,,,,,,,,,2.0,,,,,,,,,,
Urban mining,,,,,1.0,,,,,,,,,,,,,,,,,
Virtual reality,,,,,,,,,,,,,,,,,,,,,,2.0
Zeolite,1.0,,,,2.0,,1.0,,,1.0,,2.0,,1.0,,,,,,,,1.0
Zero-energy building,,,,,,,1.0,,,,,,,,,1.0,,1.0,,,,
closed ecological system,,,1.0,,,,,,,,,,,,,,,,,,,
hydroponics,,,,1.0,,,,,,1.0,,,,,,,,,,,,
