source,2010-01-01T00:00:00Z,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2019-01-01T00:00:00Z,2019-10-01T00:00:00Z,2020-01-01T00:00:00Z,2021-01-01T00:00:00Z
Augmented reality,,,,,,,,,,,,,1.0
Cloud computing,,,1.0,3.0,,,,,,1.0,,,
Companion robot,,,,,,,1.0,,,,,1.0,
Deep learning,,,,,1.0,,,,1.0,,,,1.0
Electric vehicle,,,,,,,1.0,,,,,,
Energy harvesting,,,,,,,1.0,,,,,,
Gene Editing,,,,,,,,1.0,,,,,
Graphene,,,,1.0,,,,,,,,,
Internet of things,,,,,,,,1.0,,,,1.0,
Learning Management System,,,,1.0,,,,,,,,,
Lidar,,,,,,2.0,,,1.0,,,,
Life-cycle assessment,,,,,,,,,,1.0,1.0,,
Machine translation,,,,,1.0,,1.0,,1.0,5.0,,,
Machine vision,,,,,,,,,,,,,1.0
Natural Language Processing,1.0,,,,,,,,,,,,
Neural Networks,,,,,,1.0,,,,,,,1.0
Plasma Medicine,,,1.0,,,,,,,,,,
Predictive maintenance,,,,,1.0,,,,,,,,
Regenerative Medicine,,,,,,,,,,,,,1.0
Semantic Web,,1.0,,,,,1.0,,,,,,
Smart grid,,,,,,3.0,,,,,,,
Smartphone,,,,1.0,,,,,1.0,,,1.0,
Structural health monitoring,,,1.0,,,,,,,,,,
Virtual power Plant,,,,,,,,,1.0,,,,
Virtual reality,,,,,,,,,1.0,,,1.0,1.0
Zero-energy building,,,,,,,1.0,,,,,,
