source,2010-01-01T00:00:00Z,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z,2014-12-01T00:00:00Z,2015-01-01T00:00:00Z,2015-07-01T00:00:00Z,2016-01-01T00:00:00Z,2016-03-01T00:00:00Z,2016-07-01T00:00:00Z,2016-10-01T00:00:00Z,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2018-05-01T00:00:00Z,2019-01-01T00:00:00Z,2019-12-01T00:00:00Z,2020-01-01T00:00:00Z,2021-01-01T00:00:00Z
Capsule endoscopy,,,,,2.0,1.0,,,,,,,,,,,,,
Carbon nanotube,,,,,,,,,,,,,,,,1.0,,,
Cloud computing,,,,,1.0,,1.0,,,,,,1.0,,,,,,
DNA repair,,,,,,,,,,,,,,,,1.0,,,
Deep learning,,,,,,,,,,,,,,,,,,1.0,
Dye-sensitized solar cell,,1.0,,,,,,,,,,,,,,,,,
Electric vehicle,,,,,,,,,1.0,,,,,,,,,,
Electronic nose,,,,,,,,,,,,1.0,,,,,,,
Gasification,,,1.0,,,,,,,,,,,,,,,,
Gene Editing,,,,,,,,,,,,,,,,1.0,,,
Graphene,,,,,,,1.0,,,,,,,1.0,1.0,,,,
Holography,,,,,1.0,,,,,,,,,,,,,,
Internet of things,,,,,,,,,1.0,,,,,,,,,,
Machine translation,1.0,,,,,,,,,,,,,,,,,,
Neural Networks,,,,,,,,,1.0,1.0,,,,1.0,,,,,
Precision agriculture,,,,,,,,,,,,,,,,,,,1.0
Regenerative Medicine,,,,,,,,,1.0,,1.0,,,,,,,,
Sensory substitution,1.0,,,,,,,,,,,,,,,,,,
Virtual reality,1.0,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,1.0,,,
aquaponics,,,,,,,,,,,,,,,,,1.0,1.0,
hydroponics,,,,,,,,,,,,,,,,1.0,,,
