source,2010-01-01T00:00:00Z,2011-01-01T00:00:00Z,2011-02-01T00:00:00Z,2011-03-01T00:00:00Z,2011-06-01T00:00:00Z,2011-12-01T00:00:00Z,2012-01-01T00:00:00Z,2012-05-01T00:00:00Z,2013-01-01T00:00:00Z,2013-04-01T00:00:00Z,2013-06-01T00:00:00Z,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,2015-03-01T00:00:00Z,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2017-02-01T00:00:00Z,2018-01-01T00:00:00Z,2019-01-01T00:00:00Z,2019-06-01T00:00:00Z,2019-08-01T00:00:00Z,2019-10-01T00:00:00Z,2019-12-01T00:00:00Z,2020-01-01T00:00:00Z,2020-04-01T00:00:00Z,2020-12-01T00:00:00Z,2021-01-01T00:00:00Z
5g,,,,,,,,,,,,,,,,,,1.0,,,,,,,,1.0,
Aerogel,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Apheresis,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Augmented reality,,2.0,,,,,,,,,,,1.0,,,1.0,,,,,,,,,,,1.0
Biosensor,,,,,,,,,2.0,,,,1.0,,,,,,1.0,,1.0,,,,,,
Breath analysis,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,,,,
Cancer biomarker,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,
Carbon capture and storage,,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,
Carbon nanotube,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
Carbon sequestration,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
Cloud computing,,,,,,,,,1.0,,,1.0,1.0,,1.0,,,,,,,,,,,,
Combined Cycle Gas Turbine Plant,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Companion robot,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
Cryptocurrency,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,
Deep learning,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Edge Computing,,,,,,,,,,,,,,,1.0,,,,1.0,,,,,,,,
Electric vehicle,,,,,,,,,1.0,,,,1.0,,1.0,,,,1.0,,,,,,,,
Electronic cigarette,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,
Electronic nose,1.0,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
Energy harvesting,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
Fuel cell,,,,,,,2.0,,,,,1.0,,,1.0,,,,,,,,,,,,
Fullerene,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
Fusion power,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
Gasification,1.0,,,,,,,,,,,,2.0,,1.0,3.0,,2.0,1.0,,,,,,,,
Genetically modified crops,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,
Genetically modified food,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
Genetically modified organism,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
Graphene,,,,,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,
Internet of things,,,,,,,,,,,,,1.0,,1.0,,,1.0,,,,,,1.0,,,
Lidar,2.0,,,,,,,,2.0,,,2.0,1.0,,2.0,2.0,,1.0,,,,,,1.0,,,2.0
Life-cycle assessment,1.0,1.0,,,,,1.0,,1.0,,,,1.0,1.0,1.0,1.0,,2.0,1.0,,,1.0,,3.0,1.0,,
Machine translation,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
Magnetic nanoparticles,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
Mixed Reality,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,
Mobile learning,,,,,,,,,,,,2.0,2.0,,1.0,,,,,,,,,,,,
Neural Networks,,,,,,,,,1.0,,,,,,,,,,2.0,,,,,,,,
Optical coating,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
PAV,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,
Precision agriculture,,,,,,,,,,,,,,,,1.0,,1.0,,,,,,1.0,,,2.0
Quantum radar,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Rapid transit,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,
Real-time polymerase chain reaction,,,,,,,,,2.0,,1.0,,,,,,,,,,,,,,,,
Regenerative Medicine,,1.0,,,1.0,1.0,1.0,,,,,2.0,1.0,,1.0,1.0,,,,,,,,1.0,,,2.0
Semantic Web,1.0,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,
Smart grid,1.0,,,,,,,,,,,3.0,1.0,,1.0,1.0,,1.0,1.0,,,,,,,,
Smartphone,1.0,,,,,,,,,,,,,,1.0,,,,1.0,1.0,,,,,,,
Spintronics,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,,1.0
Stem-cell therapy,,1.0,,1.0,,1.0,2.0,1.0,1.0,1.0,,,,,,,,,,,,,,,,,
Structural health monitoring,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,1.0
Urban mining,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0
Virtual reality,,1.0,,,,,2.0,,,,,,1.0,,,1.0,,,1.0,,,,,,,,
Virtual reality applications,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
Zero-energy building,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,
hydroponics,1.0,,,,,,,,,,,,,,,,,,1.0,,,,,,,,
