source,2010-01-01T00:00:00Z,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2019-01-01T00:00:00Z,2020-01-01T00:00:00Z,2021-01-01T00:00:00Z
Augmented reality,,,,,,,1.0,,,,
Cloud computing,,,,,2.0,2.0,5.0,4.0,,1.0,1.0
Deep learning,,,,,1.0,,,,1.0,,
Electric vehicle,,,,,,,,,,1.0,
Hydrogen fuel,,,,,,,,1.0,,,
Internet of things,,,2.0,,,,,,,,
Learning Management System,,1.0,1.0,,,,,1.0,,3.0,
Life-cycle assessment,,,1.0,,,,,,,,
Machine translation,,,,,1.0,,,,,,
Mobile learning,1.0,,,,,,3.0,2.0,2.0,1.0,
Natural Language Processing,,,,,,1.0,,,,,
Neural Networks,2.0,1.0,1.0,1.0,3.0,2.0,,,,1.0,
Smart grid,,,,,1.0,,,,,,
Smartphone,,,,,,,,2.0,2.0,,2.0
