source,2010-01-01T00:00:00Z,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,2015-06-01T00:00:00Z,2016-01-01T00:00:00Z,2016-06-01T00:00:00Z,2017-01-01T00:00:00Z,2017-07-01T00:00:00Z,2018-01-01T00:00:00Z,2019-01-01T00:00:00Z,2019-03-01T00:00:00Z,2020-01-01T00:00:00Z,2020-06-01T00:00:00Z,2020-10-01T00:00:00Z
Aeroponics,,1.0,,,,,,,,,,,,,,,
Augmented reality,,,,,,,,,,1.0,,,,,,,
Biosensor,,,,,,,,,,,,1.0,,,,,
Carbon sequestration,1.0,,,,,,,,,,,1.0,,,,,
Cloud computing,,,1.0,5.0,2.0,2.0,,2.0,,1.0,,3.0,,,1.0,,
Force Field,,,,,,,,1.0,,,,,,,,,
Gasification,,,,,,,,1.0,,,,,,,,,
Insects as food,,,,,,,,,,,,,,,1.0,,
Internet of things,,,,,,,,,,,,1.0,,,,,
Learning Management System,,,,1.0,,1.0,,,,,,,,,,,
Lidar,,,,,,1.0,,,,,,,,,,,
Mobile learning,,,,,,3.0,1.0,1.0,1.0,,,,,,1.0,,
Neural Networks,,,,1.0,1.0,,,2.0,,,,,,,,,
Precision agriculture,,,,,,,,,,,,1.0,,,,,
Radio-frequency identification,,,,,1.0,,,,,,,,,,,,
Rapid transit,,,,,,,,,,,,,,,1.0,,
Real-time polymerase chain reaction,,,,,,,,1.0,,,,,,,,,
Semantic Web,,,,,,,,,,,,,,,1.0,,
Smartphone,,,,,,,,1.0,,1.0,1.0,,1.0,1.0,1.0,1.0,1.0
aquaponics,,,,,,,,,,,,,1.0,,,,
concentrated solar power,,,,,,,,,,2.0,,,,,,,
hydroponics,,,1.0,,,,,,,,,,,,,,
