source,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2019-01-01T00:00:00Z,2020-01-01T00:00:00Z,2021-01-01T00:00:00Z
Augmented reality,,,,,,,,1.0
Bioplastic,,,,,,,,1.0
Cloud computing,,,1.0,,1.0,,,
Cryptocurrency,,,,,,,,1.0
Distributed ledger,,,,,,1.0,,
Electric vehicle,1.0,,,1.0,,1.0,,
Gasification,,,,,,,,1.0
Life-cycle assessment,,,,,,1.0,,
Machine translation,,,,,,,1.0,
Natural Language Processing,,,,,,,1.0,
Precision agriculture,,1.0,,,,,,
Semantic Web,2.0,,,,,,,
Smart grid,,1.0,,1.0,,,,
Vactrain,,,,,1.0,,,
