source,2010-01-01T00:00:00Z,2010-12-01T00:00:00Z,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z,2012-03-01T00:00:00Z,2012-05-01T00:00:00Z,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2016-05-01T00:00:00Z,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2018-06-01T00:00:00Z,2019-01-01T00:00:00Z,2019-04-01T00:00:00Z,2020-01-01T00:00:00Z,2021-01-01T00:00:00Z
3D Bioprinting,,,,,,,,,,,,,,,,,1.0,
5g,,,,,,,,,,,,1.0,,,1.0,,,
Aerogel,,,,,,,,,,,,,1.0,,,,,
Apheresis,,,,,,,,,,1.0,1.0,,,,,,,
Artificial photosynthesis,,,,,,,,,,,,,,,,,,1.0
Augmented reality,,,,,,,,2.0,4.0,11.0,,,1.0,,3.0,,2.0,
Autonomous vehicle,,,,,,,,,,,,,1.0,,,,1.0,
Bio-manufacturing,,,,,,,,,,,,,1.0,,,,,
Biosensor,1.0,,,1.0,,,,,2.0,,,,,,,,,
Brain-computer interface,,,,1.0,,,,,,,,,,,,,,
Carbon capture and storage,,,2.0,,,,1.0,1.0,,,,,,,,,,
Carbon nanotube,,,,,,,,,,,,,,,,,1.0,
Carbon sequestration,,,,,,,1.0,,2.0,,,1.0,,,,,,
Cloud computing,,,1.0,,,,4.0,2.0,4.0,1.0,,5.0,1.0,,4.0,,4.0,
Cryptocurrency,,,,,,,,,,1.0,,,,,2.0,,2.0,1.0
DNA repair,,,1.0,,,,,,,,,,,,,,,
Deep learning,,,,1.0,,,,,,,,,1.0,,,,,
Dye-sensitized solar cell,,,,,,,,,,,,,,,,,1.0,
Electric vehicle,,,,,,,1.0,,,,,3.0,1.0,,2.0,,1.0,2.0
Electronic cigarette,,,,,,,,,,,,,1.0,,,,,
Electronic nose,,,,,,,1.0,,,,,1.0,1.0,,,,,
Energy harvesting,,,,,,,1.0,,,,,1.0,,,,,,
Fuel cell,1.0,,2.0,,,,1.0,1.0,3.0,,,3.0,1.0,,1.0,,,1.0
Gasification,1.0,,,,,,1.0,,,,,1.0,1.0,,1.0,1.0,1.0,
Genetically modified crops,,,,1.0,,,,,,,,,,,,,,
Genetically modified food,,,,2.0,,,,,1.0,,,,,,,,,
Graphene,,,,,,,,,1.0,,,,2.0,,1.0,,,
Hydrogen fuel,1.0,,,,,,1.0,,1.0,,,1.0,,,,,,
Intelligent transportation system,,,,,,,,,,,,1.0,1.0,,1.0,,,
Internet of things,,,,,,,,,,,,,1.0,,6.0,,2.0,
Learning Management System,1.0,,,1.0,,,1.0,3.0,1.0,1.0,,1.0,,,,,2.0,
Lidar,,,,1.0,,,,,2.0,1.0,,,,,,,,
Life-cycle assessment,1.0,,,2.0,1.0,1.0,1.0,2.0,,1.0,,1.0,1.0,,,,,
Machine vision,2.0,,,,,,,,3.0,,,,,,,,,
Mobile learning,2.0,,3.0,2.0,,,3.0,1.0,6.0,4.0,,4.0,4.0,,2.0,,3.0,
Neural Networks,1.0,,2.0,1.0,,,2.0,1.0,1.0,,,,2.0,,1.0,,,
Ocean thermal energy conversion,,,,,,,1.0,,2.0,,,,,,,,,
Precision agriculture,,,,1.0,,,,2.0,,,,,,,1.0,,,
Predictive maintenance,,,,,,,1.0,,,,,,,,,,1.0,
Pulse detonation engine,,,,,,,1.0,,,,,,,,,,,
Radio-frequency identification,,,1.0,,,,,,,1.0,,1.0,1.0,,,,,
Rapid transit,,,,,,,1.0,2.0,,1.0,,2.0,3.0,,,,2.0,2.0
Real-time polymerase chain reaction,,,,1.0,,,,,,,,,,,,,,
Regenerative Medicine,,,,,,,,1.0,1.0,1.0,,2.0,2.0,,1.0,,,1.0
Semantic Web,,,,2.0,,,,,,,,,,,,,,
Shape-memory alloy,,,,,,,,,1.0,,,,,,,,,
Smart grid,,,,,,,,1.0,,1.0,,1.0,1.0,,,,,
Smartphone,,,1.0,1.0,,,,4.0,,4.0,,2.0,5.0,1.0,3.0,,1.0,1.0
Stem-cell therapy,1.0,1.0,,,,,,,,,,,,,,,,
Supercapacitor,,,,,,,,,,1.0,,,,,,,,
Urban rail transit,,,,,,,,,,,,1.0,,,,,,
Virtual reality,,,,,,,,,,2.0,,,,,1.0,,,1.0
Zeolite,,,,,,,,,1.0,,,,,,,,,
concentrated solar power,,,,,,,,,,1.0,,,,,,,,
