source,2010-01-01T00:00:00Z,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2017-10-01T00:00:00Z,2018-01-01T00:00:00Z,2019-01-01T00:00:00Z,2020-01-01T00:00:00Z,2020-10-01T00:00:00Z,2021-01-01T00:00:00Z
Ambient intelligence,,,,1.0,,,,,,,,,,
Augmented reality,,,,,1.0,,,,,1.0,1.0,1.0,,
Breath analysis,,,,,,,,1.0,,,,,,
Carbon capture and storage,,,,,,,,1.0,,,,,,1.0
Carbon sequestration,,1.0,,,,,2.0,1.0,,,,,,
Cloud computing,,,,,2.0,,,,,,,,,
Deep learning,,,,,,,,,,,1.0,,,
Electric vehicle,1.0,,,,,,,,,,,,,
Electronic cigarette,,,,,,,,,,,,1.0,2.0,
Energy harvesting,,,,,1.0,,,,,1.0,,,,
Facial recognition,,,,,,,,,,,,,,1.0
Graphene,,,,,,,,1.0,,,,,,
Internet of things,,,,,,,,,,,1.0,,,
Lidar,1.0,,,,,1.0,2.0,2.0,,4.0,1.0,3.0,,
Life-cycle assessment,,1.0,,,1.0,1.0,,,,,,,,1.0
Machine translation,,1.0,2.0,1.0,,,,,,,,,,
Microelectromechanical systems,,,1.0,,,,,,,,,,,
Mobile learning,,,,,,1.0,3.0,,,,,,,
Natural Language Processing,,,,,,,1.0,,,,,,,1.0
Neural Networks,,,,1.0,1.0,1.0,3.0,1.0,,1.0,1.0,,,1.0
Oil detection,,,,1.0,,,,,,,,,,
Radio-frequency identification,,1.0,,,,,,,,,,,,
Rapid transit,1.0,,1.0,2.0,2.0,,1.0,,,,,,,
Regenerative Medicine,,,,,,,,1.0,,,,,,
Semantic Web,,,,2.0,,1.0,,,,,,,,
Smartphone,,,,,,1.0,1.0,1.0,1.0,1.0,,,,
Supercapacitor,,,,1.0,,,,,,,,,,
Virtual reality,1.0,,,,,,,,,,,1.0,,
Zeolite,,,,,,2.0,,,,,,,,
hydroponics,,,,1.0,,,,,,,,,,
second-generation biofuels,,,,,,,,1.0,,,,,,
self assembly,,,,,,,,1.0,,,,,,
