source,2011-01-01T00:00:00Z,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2017-08-01T00:00:00Z,2018-01-01T00:00:00Z,2019-01-01T00:00:00Z,2020-01-01T00:00:00Z,2020-11-01T00:00:00Z,2021-01-01T00:00:00Z
Carbon sequestration,,1.0,,1.0,1.0,1.0,,,,,,
Cloud computing,,,,,,,,,1.0,,,
Cryptocurrency,,,,,,,,1.0,,,,
Deep learning,,,,,,,,1.0,,,,
Electric vehicle,1.0,,,,,,,,2.0,,,
Gasification,,,1.0,,,1.0,,,,,,
Internet of things,,,,,,,,,1.0,1.0,,1.0
Lidar,,,,2.0,,,,,,,,
Life-cycle assessment,,,,,1.0,,,,,,,
Mobile learning,,,,,1.0,,,,,,,
Natural Language Processing,,,,1.0,,,,,,,,
Rapid diagnostic test,,,,,,,,,,1.0,,
Semantic Web,,,,,,,,,,1.0,,
Smartphone,,,1.0,,,,1.0,1.0,1.0,1.0,1.0,1.0
Zero-energy building,,,,,1.0,,,,,,,
