source,2010-01-01T00:00:00Z,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,2015-06-01T00:00:00Z,2016-01-01T00:00:00Z,2016-07-01T00:00:00Z,2016-11-01T00:00:00Z,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2019-01-01T00:00:00Z,2019-08-01T00:00:00Z,2020-01-01T00:00:00Z,2021-01-01T00:00:00Z
5g,,,,,,,,,,,,,1.0,,,
Artificial photosynthesis,,,,,,1.0,1.0,,,,,,,,,
Atmospheric satellite,,,,,,,,,,,,1.0,,,,
Augmented reality,,,,1.0,,,,1.0,,,1.0,,,,,
Autonomous vehicle,,,,,,,,,,,,,1.0,,,
Brain-computer interface,,,,,,,,1.0,,1.0,,,,,,
Carbon capture and storage,,1.0,,1.0,1.0,,,1.0,,,1.0,,,,,
Cloud computing,,,1.0,,,,,1.0,,,1.0,,,,1.0,
Compressive Sensing,,,,,1.0,,,,,,,,,,,
Cryptocurrency,,,,,,,,,,,,,1.0,,,
Cultured meat,,,,,,,,,,,,3.0,,,,
Deep learning,,,,1.0,,,,,,,,2.0,1.0,,3.0,
Electric vehicle,2.0,,,,1.0,,,,,,,1.0,,,,
Fuel cell,2.0,,,2.0,,,,,,,,,,,,
Fuel cell vehicle,1.0,,,,,,,,,,,,,,,
Gasification,3.0,1.0,,,2.0,3.0,,,,,,,,,,
Gene Editing,,,,,,,,,,,1.0,,,,,
Graphene,,,,,1.0,,,,,,1.0,,,,,
Holography,,,,,,,,,,,,1.0,,,,
Hydrogen fuel,,,,,,,,,,,,,,,1.0,
Insects as food,,,,,,,,1.0,1.0,,,2.0,,,,
Intelligent transportation system,,1.0,,,,,,,,,,,,,,
Internet of things,1.0,,,,,,,,,,,,1.0,,,
Lab-on-a-chip,,,1.0,,1.0,,,,,,,,,,,
Lidar,,1.0,,,1.0,,,1.0,,,2.0,3.0,2.0,,5.0,1.0
Life-cycle assessment,,,,,,,,,,,1.0,,1.0,,,
Machine vision,,,,,,2.0,,,,,,,,,,
Microfluidics,,,1.0,,,,,,,,,,1.0,,,
Mobile learning,,1.0,1.0,,2.0,2.0,,1.0,,,,,,,,
Natural Language Processing,,1.0,,,1.0,,,,,,,,,,,
Neural Networks,,1.0,,,,,,1.0,,,1.0,,1.0,,,
Precision agriculture,,,,,,,,,,,,,1.0,,,
Radio-frequency identification,,,,1.0,,,,,,,,,,,,
Real-time polymerase chain reaction,,,,,,,,,,,,,1.0,1.0,,
Regenerative Medicine,,,1.0,,1.0,,,1.0,,,2.0,1.0,1.0,,1.0,
Smart grid,1.0,,,2.0,1.0,1.0,,2.0,,,,2.0,1.0,,,
Smartphone,,,,4.0,,1.0,,,,,2.0,3.0,1.0,,,2.0
Stem-cell therapy,,,,,1.0,,,,,,,,,,,
Structural health monitoring,,,,,1.0,,,,,,,,,,,
Targeted drug delivery,,,,1.0,,,,,,,,,,,,
Vertical farming,,,,,,,,,,,,,1.0,,,
Virtual power Plant,1.0,,,,,,,,,,1.0,1.0,,,,
Virtual reality,,,1.0,,2.0,1.0,,1.0,,,,1.0,,,,
Zero-energy building,,,,,,,,1.0,,,,,,,,
cellular agriculture,,,,,,,,,,,,,,,,1.0
hydroponics,,,,1.0,,,,,,,,,,,,
