source,2010-01-01T00:00:00Z,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2018-10-01T00:00:00Z,2018-12-01T00:00:00Z,2019-01-01T00:00:00Z,2019-07-01T00:00:00Z,2020-01-01T00:00:00Z,2021-01-01T00:00:00Z
5g,,,,,,,,,,,,,,1.0
Apheresis,,,,,1.0,,,,,,,,,
Bioplastic,,,,,,,,,,,,,1.0,
Carbon capture and storage,1.0,,,,,,,,,,,,,
Carbon sequestration,,,1.0,,1.0,1.0,,,,,,,,
Cloud computing,,1.0,3.0,5.0,2.0,4.0,4.0,3.0,,,5.0,,2.0,1.0
Cryptocurrency,,,,,,,,,,,1.0,,,
Deep learning,,,,,,,,1.0,1.0,,,,,
Electric vehicle,,,,,,,,1.0,,,,,,
Energy harvesting,,,,,,,,1.0,,,,,,
Facial recognition,,,,,,,,,,,,,1.0,
Gasification,,,,,,1.0,,1.0,,,,,,2.0
Genetically modified crops,,,,,,,,,,,,,1.0,
Genetically modified food,,,,,,,1.0,,,,,,,
Genetically modified organism,,,,,,,,1.0,,,,,,
Holography,,,,,1.0,,,,,,,,,
Intelligent transportation system,,,,,,1.0,,,,,,,,
Internet of things,,,,,,,1.0,,,,3.0,,,1.0
Learning Management System,,,,,,,1.0,1.0,,,,,,
Lidar,,,,,,1.0,,,,,,,,
Life-cycle assessment,,,1.0,,,,,,,,2.0,,,
Machine translation,,,,,1.0,,,,,,,,,
Maglev,,,,,,,1.0,,,,,,,
Mobile learning,,2.0,,1.0,2.0,1.0,4.0,3.0,,,1.0,,,
Natural Language Processing,,,,,,,,,,,,,,1.0
Neural Networks,,,,,,1.0,,3.0,1.0,,1.0,,,2.0
Precision agriculture,,,1.0,,,,,,,,,,,
Radio-frequency identification,,,,,,,,,,,1.0,,,
Rapid diagnostic test,,,,,,,1.0,1.0,,1.0,1.0,,,
Rapid transit,1.0,,,,,,,,,,,,1.0,
Smart grid,,,,1.0,,,1.0,,,,1.0,,,
Smartphone,,,,,,2.0,2.0,,,,5.0,1.0,1.0,
Stem-cell therapy,,,1.0,,,,,,,,,,,
Zeolite,,2.0,,,,1.0,1.0,,,,,,2.0,
