source,2010-01-01T00:00:00Z,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z,2014-05-01T00:00:00Z,2014-09-01T00:00:00Z,2015-01-01T00:00:00Z,2015-05-01T00:00:00Z,2016-01-01T00:00:00Z,2016-06-01T00:00:00Z,2016-09-01T00:00:00Z,2017-01-01T00:00:00Z,2017-06-01T00:00:00Z,2018-01-01T00:00:00Z,2019-01-01T00:00:00Z,2019-06-01T00:00:00Z,2020-01-01T00:00:00Z,2020-04-01T00:00:00Z,2021-01-01T00:00:00Z
5g,,,,,,,,,,,,,,,,,,,,1.0
Aerogel,,,,,,,,,,1.0,,,1.0,,,1.0,,,,
Augmented reality,,,,1.0,,,,,,,,,,,,,,,,
Cancer biomarker,,,,,,,,,,1.0,1.0,,,,,,,,,
Carbon capture and storage,,3.0,1.0,1.0,,,,,,,,,1.0,,1.0,,,,,1.0
Carbon dioxide removal,,,,,,,,,,,,,,,,,,1.0,,
Carbon nanotube,,,,,,,,1.0,,,,,,,,,,,,
Carbon sequestration,,1.0,1.0,,1.0,1.0,,,,,,,,,,,,2.0,,
Cloud computing,,,1.0,1.0,1.0,,,,,,,,,,1.0,,,,,
Cryptocurrency,,,,,,,,,,,,,,,,1.0,,,,
Deep learning,,,,,,,,,,,,,1.0,,,,,,,2.0
Electric vehicle,,,,1.0,1.0,,,2.0,,,,,2.0,,1.0,,,1.0,,
Fuel cell,,,,2.0,,,,,,,,,,,,,,,,
Insects as food,,,,,,,,1.0,,,,,,,,,,,,
Internet of things,,,,,1.0,,,,,,,,,,,,,,,
Lidar,2.0,1.0,1.0,1.0,1.0,,,3.0,,1.0,,,2.0,1.0,3.0,5.0,,3.0,,
Life-cycle assessment,,1.0,1.0,,,,,,,,,,,,,,,,,
Smart grid,,,,1.0,1.0,,,2.0,,1.0,,,1.0,,,,,,,
Smartphone,,,,,,,,2.0,1.0,1.0,,1.0,1.0,,,1.0,,1.0,1.0,
Spintronics,,,,,,,,,,,,,,,,1.0,,,,
Thorium fuel cycle,,,,1.0,,,,,,,,,,,,,,,,
Virtual reality,1.0,,,,1.0,,1.0,,,,,,,,,1.0,1.0,,,
Zeolite,,,,,,,,,,,,,,,1.0,,,,,
music technology,,,,,,,,1.0,,,,,,,,,,,,
second-generation biofuels,1.0,,,,,,,,,,,,,,,,,,,
