source,2010-01-01T00:00:00Z,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,2014-01-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2019-01-01T00:00:00Z,2019-03-01T00:00:00Z,2020-01-01T00:00:00Z,2021-01-01T00:00:00Z
Augmented reality,,,,,,,,,,,,1.0,
Biosensor,,,1.0,,,,,,,,,,
Carbon capture and storage,,,,,1.0,,,,,,,,
Cloud computing,,,,,,2.0,3.0,3.0,,,,,1.0
Cryptocurrency,,,,,,,,,,,,1.0,
Microfluidics,,,,1.0,,,,,,,,,
Mobile learning,,,,,,2.0,2.0,2.0,1.0,1.0,,1.0,
Ocean thermal energy conversion,,,,,,,,1.0,,,,,
Quantum dot,,,1.0,,,,,,,,,,
Real-time polymerase chain reaction,,2.0,,,,,,,,,,,
Smart grid,,,,,,,1.0,1.0,2.0,,,,1.0
Smartphone,,,,,,,,,,1.0,1.0,,
Zero-energy building,,,,,,,,,,1.0,,,
concentrated solar power,1.0,,,,,,,,,,,,
