source,2011-01-01T00:00:00Z,2012-01-01T00:00:00Z,2013-01-01T00:00:00Z,2015-01-01T00:00:00Z,2016-01-01T00:00:00Z,2017-01-01T00:00:00Z,2018-01-01T00:00:00Z,2019-01-01T00:00:00Z,2019-10-01T00:00:00Z,2020-01-01T00:00:00Z,2020-08-01T00:00:00Z
Aeroponics,,1.0,,,,,,,,,
Carbon sequestration,,,,,1.0,,,,,,
Cloud computing,,,,,,1.0,,,,,
Cryptocurrency,,,,,,,,1.0,,,
Deep learning,,,,,,,,,,1.0,1.0
Digital image processing,,,1.0,,,,,,,,
Gasification,,,,,,,,,,1.0,
Internet of things,,,,,,,,,,1.0,
Life-cycle assessment,,,,,,1.0,,,,,
Mobile learning,,,,,,,,1.0,,,
Neural Networks,,,,,,1.0,,,,,
Predictive maintenance,,,,,,,,1.0,,,
Quadcopter,,,,,,1.0,,,,,
Rapid diagnostic test,,,,,,,,1.0,1.0,,
Semantic Web,1.0,,,,,,,,,,
Smartphone,,,,,,,1.0,,,,
Zeolite,,,,1.0,,,,,,,
